STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,wrkstat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,WST_1,EU_V,2005,91.8,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,WST_2,EU_V,2005,5.7,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,WST_9,EU_V,2005,2.5,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,WST_1,EU_V,2005,88.0,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,WST_2,EU_V,2005,6.4,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,WST_9,EU_V,2005,5.5,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,A,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,A,WST_1,EU_V,2005,92.3,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,A,WST_2,EU_V,2005,2.0,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,A,WST_9,EU_V,2005,5.6,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,B,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,B,WST_1,EU_V,2005,97.0,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,B,WST_2,EU_V,2005,1.2,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,B,WST_9,EU_V,2005,1.8,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,C,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,C,WST_1,EU_V,2005,96.1,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,C,WST_2,EU_V,2005,2.1,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,C,WST_9,EU_V,2005,1.8,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,D,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,D,WST_1,EU_V,2005,94.5,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,D,WST_2,EU_V,2005,2.8,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,D,WST_9,EU_V,2005,2.7,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,E,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,E,WST_1,EU_V,2005,74.9,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,E,WST_2,EU_V,2005,16.1,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,E,WST_9,EU_V,2005,9.1,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,F,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,F,WST_1,EU_V,2005,85.1,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,F,WST_2,EU_V,2005,4.9,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,F,WST_9,EU_V,2005,10.0,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,G,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,G,WST_1,EU_V,2005,90.6,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,G,WST_2,EU_V,2005,6.7,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,G,WST_9,EU_V,2005,2.7,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,H,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,H,WST_1,EU_V,2005,94.4,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,H,WST_2,EU_V,2005,4.4,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,H,WST_9,EU_V,2005,1.2,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,I,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,I,WST_1,EU_V,2005,77.5,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,I,WST_2,EU_V,2005,17.5,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,I,WST_9,EU_V,2005,5.0,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,J,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,J,WST_1,EU_V,2005,73.0,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,J,WST_2,EU_V,2005,21.6,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,J,WST_9,EU_V,2005,5.4,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,K,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,K,WST_1,EU_V,2005,80.7,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,K,WST_2,EU_V,2005,13.9,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,K,WST_9,EU_V,2005,5.4,
dataflow,ESTAT:HSW_AW_WS3(1.0),A,RT,D_GE4,TOTAL,T,L,TOTAL,EU_V,2005,100.0,
