STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,wrkenv,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_WE2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,TOTAL,EU_V,2005,1063.8,
dataflow,ESTAT:HSW_AW_WE2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,WEN_01,EU_V,2005,265.6,
dataflow,ESTAT:HSW_AW_WE2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,WEN_02,EU_V,2005,13.3,
dataflow,ESTAT:HSW_AW_WE2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,WEN_03,EU_V,2005,49.5,
dataflow,ESTAT:HSW_AW_WE2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,WEN_04,EU_V,2005,382.4,
dataflow,ESTAT:HSW_AW_WE2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,WEN_05,EU_V,2005,151.4,
dataflow,ESTAT:HSW_AW_WE2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,WEN_06,EU_V,2005,142.9,
dataflow,ESTAT:HSW_AW_WE2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,WEN_07,EU_V,2005,32.6,
dataflow,ESTAT:HSW_AW_WE2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,WEN_08,EU_V,2005,13.4,
dataflow,ESTAT:HSW_AW_WE2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,WEN_09,EU_V,2005,1.5,
dataflow,ESTAT:HSW_AW_WE2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,WEN_10,EU_V,2005,0.5,
dataflow,ESTAT:HSW_AW_WE2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,WEN_11,EU_V,2005,0.7,
dataflow,ESTAT:HSW_AW_WE2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,WEN_12,EU_V,2005,0.0,
dataflow,ESTAT:HSW_AW_WE2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,WEN_99,EU_V,2005,9.8,
dataflow,ESTAT:HSW_AW_WE2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,TOTAL,EU_V,2005,2903.0,
dataflow,ESTAT:HSW_AW_WE2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,WEN_01,EU_V,2005,1363.7,
dataflow,ESTAT:HSW_AW_WE2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,WEN_02,EU_V,2005,607.5,
dataflow,ESTAT:HSW_AW_WE2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,WEN_03,EU_V,2005,131.9,
dataflow,ESTAT:HSW_AW_WE2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,WEN_04,EU_V,2005,243.3,
dataflow,ESTAT:HSW_AW_WE2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,WEN_05,EU_V,2005,41.3,
dataflow,ESTAT:HSW_AW_WE2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,WEN_06,EU_V,2005,369.6,
dataflow,ESTAT:HSW_AW_WE2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,WEN_07,EU_V,2005,54.8,
dataflow,ESTAT:HSW_AW_WE2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,WEN_08,EU_V,2005,33.1,
dataflow,ESTAT:HSW_AW_WE2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,WEN_09,EU_V,2005,7.2,
dataflow,ESTAT:HSW_AW_WE2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,WEN_10,EU_V,2005,16.5,
dataflow,ESTAT:HSW_AW_WE2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,WEN_11,EU_V,2005,12.1,
dataflow,ESTAT:HSW_AW_WE2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,WEN_12,EU_V,2005,0.2,
dataflow,ESTAT:HSW_AW_WE2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,WEN_99,EU_V,2005,21.8,
dataflow,ESTAT:HSW_AW_WE2(1.0),A,RT,D_GE4,TOTAL,T,A,TOTAL,EU_V,2005,1759.9,
dataflow,ESTAT:HSW_AW_WE2(1.0),A,RT,D_GE4,TOTAL,T,A,WEN_01,EU_V,2005,167.2,
dataflow,ESTAT:HSW_AW_WE2(1.0),A,RT,D_GE4,TOTAL,T,A,WEN_02,EU_V,2005,18.9,
dataflow,ESTAT:HSW_AW_WE2(1.0),A,RT,D_GE4,TOTAL,T,A,WEN_03,EU_V,2005,1273.4,
dataflow,ESTAT:HSW_AW_WE2(1.0),A,RT,D_GE4,TOTAL,T,A,WEN_04,EU_V,2005,56.3,
dataflow,ESTAT:HSW_AW_WE2(1.0),A,RT,D_GE4,TOTAL,T,A,WEN_05,EU_V,2005,7.5,
dataflow,ESTAT:HSW_AW_WE2(1.0),A,RT,D_GE4,TOTAL,T,A,WEN_06,EU_V,2005,92.3,
dataflow,ESTAT:HSW_AW_WE2(1.0),A,RT,D_GE4,TOTAL,T,A,WEN_07,EU_V,2005,48.1,
dataflow,ESTAT:HSW_AW_WE2(1.0),A,RT,D_GE4,TOTAL,T,A,WEN_08,EU_V,2005,53.3,
dataflow,ESTAT:HSW_AW_WE2(1.0),A,RT,D_GE4,TOTAL,T,A,WEN_09,EU_V,2005,2.9,
