STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,matagent,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_MAD1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_0100,EU_V,2005,131802,
dataflow,ESTAT:HSW_AW_MAD1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_0200,EU_V,2005,53675,
dataflow,ESTAT:HSW_AW_MAD1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_0300,EU_V,2005,845,
dataflow,ESTAT:HSW_AW_MAD1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_0400,EU_V,2005,2324,
dataflow,ESTAT:HSW_AW_MAD1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_0500,EU_V,2005,1935,
dataflow,ESTAT:HSW_AW_MAD1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_0600,EU_V,2005,46323,
dataflow,ESTAT:HSW_AW_MAD1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_0700,EU_V,2005,6823,
dataflow,ESTAT:HSW_AW_MAD1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_0800,EU_V,2005,2625,
dataflow,ESTAT:HSW_AW_MAD1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_0900,EU_V,2005,3727,
dataflow,ESTAT:HSW_AW_MAD1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_1000,EU_V,2005,27744,
dataflow,ESTAT:HSW_AW_MAD1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_1100,EU_V,2005,45779,
dataflow,ESTAT:HSW_AW_MAD1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_1200,EU_V,2005,30181,
dataflow,ESTAT:HSW_AW_MAD1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_1300,EU_V,2005,1470,
dataflow,ESTAT:HSW_AW_MAD1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_1400,EU_V,2005,69155,
dataflow,ESTAT:HSW_AW_MAD1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_1500,EU_V,2005,10531,
dataflow,ESTAT:HSW_AW_MAD1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_1600,EU_V,2005,881,
dataflow,ESTAT:HSW_AW_MAD1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_1700,EU_V,2005,34640,
dataflow,ESTAT:HSW_AW_MAD1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_1800,EU_V,2005,45947,
dataflow,ESTAT:HSW_AW_MAD1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_1900,EU_V,2005,1975,
dataflow,ESTAT:HSW_AW_MAD1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_2000,EU_V,2005,3380,
dataflow,ESTAT:HSW_AW_MAD1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,MAT_9900,EU_V,2005,10605,
dataflow,ESTAT:HSW_AW_MAD1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,TOTAL,EU_V,2005,532372,
dataflow,ESTAT:HSW_AW_MAD1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,MAT_0100,EU_V,2005,308464,
dataflow,ESTAT:HSW_AW_MAD1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,MAT_0200,EU_V,2005,173882,
dataflow,ESTAT:HSW_AW_MAD1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,MAT_0300,EU_V,2005,10181,
dataflow,ESTAT:HSW_AW_MAD1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,MAT_0400,EU_V,2005,18609,
dataflow,ESTAT:HSW_AW_MAD1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,MAT_0500,EU_V,2005,17720,
dataflow,ESTAT:HSW_AW_MAD1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,MAT_0600,EU_V,2005,178816,
dataflow,ESTAT:HSW_AW_MAD1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,MAT_0700,EU_V,2005,58689,
