STRUCTURE,STRUCTURE_ID,freq,unit,isco88,nace_r1,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO0,L,EU_V,1999,109,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO0,TOTAL,EU_V,1999,108,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO1,A,EU_V,1999,205,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO1,D,EU_V,1999,56,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO1,F,EU_V,1999,77,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO1,G,EU_V,1999,42,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO1,H,EU_V,1999,53,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO1,I,EU_V,1999,44,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO1,J,EU_V,1999,48,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO1,K,EU_V,1999,46,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO1,L,EU_V,1999,53,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO1,M,EU_V,1999,80,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO1,N,EU_V,1999,59,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO1,O,EU_V,1999,48,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO1,TOTAL,EU_V,1999,53,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO2,A,EU_V,1999,71,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO2,D,EU_V,1999,38,
