STRUCTURE,STRUCTURE_ID,freq,unit,isco88,nace_r1,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO2,F,EU_V,1999,46,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO2,G,EU_V,1999,29,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO2,I,EU_V,1999,49,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO2,K,EU_V,1999,25,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO2,L,EU_V,1999,24,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO2,M,EU_V,1999,64,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO2,N,EU_V,1999,100,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO2,O,EU_V,1999,41,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO2,TOTAL,EU_V,1999,51,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO3,A,EU_V,1999,41,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO3,D,EU_V,1999,43,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO3,E,EU_V,1999,77,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO3,F,EU_V,1999,82,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO3,G,EU_V,1999,46,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO3,I,EU_V,1999,51,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO3,J,EU_V,1999,34,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO3,K,EU_V,1999,48,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO3,L,EU_V,1999,38,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO3,M,EU_V,1999,74,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO3,N,EU_V,1999,114,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO3,O,EU_V,1999,112,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO3,TOTAL,EU_V,1999,62,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO4,D,EU_V,1999,66,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO4,E,EU_V,1999,38,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO4,F,EU_V,1999,36,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO4,G,EU_V,1999,70,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO4,H,EU_V,1999,49,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO4,I,EU_V,1999,91,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO4,J,EU_V,1999,34,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO4,K,EU_V,1999,38,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO4,L,EU_V,1999,52,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO4,M,EU_V,1999,55,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO4,N,EU_V,1999,67,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO4,O,EU_V,1999,44,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO4,TOTAL,EU_V,1999,58,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO5,A,EU_V,1999,79,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO5,D,EU_V,1999,51,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO5,G,EU_V,1999,83,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO5,H,EU_V,1999,117,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO5,I,EU_V,1999,128,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO5,K,EU_V,1999,155,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO5,L,EU_V,1999,190,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO5,M,EU_V,1999,141,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO5,N,EU_V,1999,153,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO5,O,EU_V,1999,80,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO5,P,EU_V,1999,66,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO5,TOTAL,EU_V,1999,113,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO6,A,EU_V,1999,109,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO6,B,EU_V,1999,123,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO6,G,EU_V,1999,88,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO6,L,EU_V,1999,120,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO6,O,EU_V,1999,166,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO6,P,EU_V,1999,299,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO6,TOTAL,EU_V,1999,112,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO7,A,EU_V,1999,187,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO7,C,EU_V,1999,255,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO7,D,EU_V,1999,156,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO7,E,EU_V,1999,167,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO7,F,EU_V,1999,182,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO7,G,EU_V,1999,161,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO7,H,EU_V,1999,92,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO7,I,EU_V,1999,149,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO7,K,EU_V,1999,118,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO7,L,EU_V,1999,144,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO7,M,EU_V,1999,128,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO7,N,EU_V,1999,141,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO7,O,EU_V,1999,107,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO7,TOTAL,EU_V,1999,164,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO8,A,EU_V,1999,126,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO8,B,EU_V,1999,79,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO8,C,EU_V,1999,143,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO8,D,EU_V,1999,167,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO8,E,EU_V,1999,97,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO8,F,EU_V,1999,141,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO8,G,EU_V,1999,176,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO8,I,EU_V,1999,145,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO8,K,EU_V,1999,191,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO8,L,EU_V,1999,67,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO8,N,EU_V,1999,175,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO8,O,EU_V,1999,113,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO8,TOTAL,EU_V,1999,155,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO9,A,EU_V,1999,112,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO9,D,EU_V,1999,131,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO9,E,EU_V,1999,80,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO9,F,EU_V,1999,184,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO9,G,EU_V,1999,127,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO9,H,EU_V,1999,108,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO9,I,EU_V,1999,224,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO9,J,EU_V,1999,156,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO9,K,EU_V,1999,119,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO9,L,EU_V,1999,112,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO9,M,EU_V,1999,140,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO9,N,EU_V,1999,148,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO9,O,EU_V,1999,163,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO9,P,EU_V,1999,65,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,ISCO9,TOTAL,EU_V,1999,134,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,TOTAL,A,EU_V,1999,112,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,TOTAL,B,EU_V,1999,118,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,TOTAL,C,EU_V,1999,145,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,TOTAL,D,EU_V,1999,118,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,TOTAL,E,EU_V,1999,90,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,TOTAL,F,EU_V,1999,154,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,TOTAL,G,EU_V,1999,85,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,TOTAL,H,EU_V,1999,95,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,TOTAL,I,EU_V,1999,115,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,TOTAL,J,EU_V,1999,35,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,TOTAL,K,EU_V,1999,56,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,TOTAL,L,EU_V,1999,79,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,TOTAL,M,EU_V,1999,78,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,TOTAL,N,EU_V,1999,118,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,TOTAL,O,EU_V,1999,87,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,TOTAL,P,EU_V,1999,74,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,TOTAL,Q,EU_V,1999,33,
dataflow,ESTAT:HSW_IJ_ISNA(1.0),A,RT,TOTAL,TOTAL,EU_V,1999,100,
