STRUCTURE,STRUCTURE_ID,freq,unit,barrier,quantile,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DSI030(1.0),A,THS,PTP_LD1,QU1,F,AT,2012,72.4,
dataflow,ESTAT:HLTH_DSI030(1.0),A,THS,PTP_LD1,QU1,F,BE,2012,52.2,
dataflow,ESTAT:HLTH_DSI030(1.0),A,THS,PTP_LD1,QU1,F,BG,2012,146.0,
dataflow,ESTAT:HLTH_DSI030(1.0),A,THS,PTP_LD1,QU1,F,CY,2012,4.1,u
dataflow,ESTAT:HLTH_DSI030(1.0),A,THS,PTP_LD1,QU1,F,CZ,2012,61.2,
dataflow,ESTAT:HLTH_DSI030(1.0),A,THS,PTP_LD1,QU1,F,DE,2012,996.7,
dataflow,ESTAT:HLTH_DSI030(1.0),A,THS,PTP_LD1,QU1,F,DK,2012,47.9,
dataflow,ESTAT:HLTH_DSI030(1.0),A,THS,PTP_LD1,QU1,F,EE,2012,23.3,
dataflow,ESTAT:HLTH_DSI030(1.0),A,THS,PTP_LD1,QU1,F,EEA,2012,4212.3,e
dataflow,ESTAT:HLTH_DSI030(1.0),A,THS,PTP_LD1,QU1,F,EL,2012,54.6,
dataflow,ESTAT:HLTH_DSI030(1.0),A,THS,PTP_LD1,QU1,F,ES,2012,325.2,
dataflow,ESTAT:HLTH_DSI030(1.0),A,THS,PTP_LD1,QU1,F,EU27_2007,2012,4174.0,e
dataflow,ESTAT:HLTH_DSI030(1.0),A,THS,PTP_LD1,QU1,F,FI,2012,57.6,
dataflow,ESTAT:HLTH_DSI030(1.0),A,THS,PTP_LD1,QU1,F,FR,2012,343.1,
dataflow,ESTAT:HLTH_DSI030(1.0),A,THS,PTP_LD1,QU1,F,HU,2012,131.0,
dataflow,ESTAT:HLTH_DSI030(1.0),A,THS,PTP_LD1,QU1,F,IS,2012,1.9,u
dataflow,ESTAT:HLTH_DSI030(1.0),A,THS,PTP_LD1,QU1,F,IT,2012,282.7,
dataflow,ESTAT:HLTH_DSI030(1.0),A,THS,PTP_LD1,QU1,F,LT,2012,30.1,
dataflow,ESTAT:HLTH_DSI030(1.0),A,THS,PTP_LD1,QU1,F,LU,2012,4.1,u
dataflow,ESTAT:HLTH_DSI030(1.0),A,THS,PTP_LD1,QU1,F,LV,2012,36.4,
dataflow,ESTAT:HLTH_DSI030(1.0),A,THS,PTP_LD1,QU1,F,MT,2012,4.7,
dataflow,ESTAT:HLTH_DSI030(1.0),A,THS,PTP_LD1,QU1,F,NL,2012,121.2,
dataflow,ESTAT:HLTH_DSI030(1.0),A,THS,PTP_LD1,QU1,F,NO,2012,36.4,
dataflow,ESTAT:HLTH_DSI030(1.0),A,THS,PTP_LD1,QU1,F,PL,2012,309.3,
dataflow,ESTAT:HLTH_DSI030(1.0),A,THS,PTP_LD1,QU1,F,PT,2012,26.7,
dataflow,ESTAT:HLTH_DSI030(1.0),A,THS,PTP_LD1,QU1,F,RO,2012,329.0,
dataflow,ESTAT:HLTH_DSI030(1.0),A,THS,PTP_LD1,QU1,F,SE,2012,75.0,
