STRUCTURE,STRUCTURE_ID,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,EU28,2014,34.7,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,FI,2014,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,FI,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,FR,2014,53.2,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,FR,2019,52.4,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,HR,2014,23.9,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,HR,2019,35.9,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,HU,2014,33.0,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,HU,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,IE,2014,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,IE,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,IS,2014,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,IS,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,IT,2014,43.1,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,IT,2019,44.5,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,LT,2014,24.3,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,LT,2019,26.2,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,LU,2014,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,LU,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,LV,2014,25.5,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,LV,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,MT,2014,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,MT,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,NL,2014,47.2,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,NL,2019,52.2,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,NO,2014,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,NO,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,PL,2014,31.7,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,PL,2019,17.6,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,PT,2014,23.5,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,PT,2019,13.1,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,RO,2014,28.0,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,RO,2019,8.3,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,RS,2019,20.7,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,SE,2014,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,SE,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,SI,2014,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,SI,2019,19.5,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,SK,2014,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,SK,2019,5.8,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,TR,2014,6.0,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,TR,2019,8.9,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,UK,2014,22.4,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE55,AT,2019,53.1,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE55,BE,2019,75.1,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE55,BG,2019,28.6,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE55,CY,2019,52.0,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE55,CZ,2019,26.9,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE55,DE,2019,56.8,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE55,DK,2019,76.6,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE55,EE,2019,13.7,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE55,EL,2019,37.4,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE55,ES,2019,51.6,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE55,EU27_2020,2019,49.8,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE55,FI,2019,62.6,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE55,FR,2019,64.6,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE55,HR,2019,40.5,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE55,HU,2019,42.1,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE55,IE,2019,65.7,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE55,IS,2019,46.9,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE55,IT,2019,53.0,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE55,LT,2019,26.1,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE55,LU,2019,60.9,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE55,LV,2019,28.1,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE55,MT,2019,44.4,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE55,NL,2019,67.8,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE55,NO,2019,54.0,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE55,PL,2019,35.3,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE55,PT,2019,30.2,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE55,RO,2019,16.5,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE55,RS,2019,28.4,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE55,SE,2019,45.3,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE55,SI,2019,29.9,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE55,SK,2019,21.4,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE55,TR,2019,11.7,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,AT,2014,38.0,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,AT,2019,55.4,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,BE,2014,54.8,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,BE,2019,78.5,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,BG,2014,22.7,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,BG,2019,27.9,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,CY,2014,58.6,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,CY,2019,53.5,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,CZ,2014,33.5,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,CZ,2019,27.5,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,DE,2014,52.2,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,DE,2019,59.3,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,DK,2014,91.4,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,DK,2019,82.0,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,EE,2014,22.7,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,EE,2019,17.0,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,EL,2014,36.5,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,EL,2019,36.6,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,ES,2014,52.2,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,ES,2019,52.2,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,EU27_2020,2014,50.7,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,EU27_2020,2019,51.3,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,EU28,2014,49.7,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,FI,2014,69.4,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,FI,2019,67.0,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,FR,2014,75.6,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,FR,2019,67.8,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,HR,2014,29.9,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,HR,2019,41.2,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,HU,2014,40.1,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,HU,2019,47.0,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,IE,2014,65.4,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,IE,2019,68.8,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,IS,2014,66.4,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,IS,2019,60.5,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,IT,2014,54.7,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,IT,2019,54.2,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,LT,2014,27.4,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,LT,2019,27.9,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,LU,2014,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,LU,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,LV,2014,29.5,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,LV,2019,30.7,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,MT,2014,61.3,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,MT,2019,43.7,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,NL,2014,70.8,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,NL,2019,74.6,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,NO,2014,61.1,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,NO,2019,58.0,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,PL,2014,32.8,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,PL,2019,36.2,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,PT,2014,31.3,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,PT,2019,31.7,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,RO,2014,25.4,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,RO,2019,16.8,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,RS,2019,28.4,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,SE,2014,44.0,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,SE,2019,50.7,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,SI,2014,43.3,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,SI,2019,31.6,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,SK,2014,32.6,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,SK,2019,22.3,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,TR,2014,8.9,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,TR,2019,11.3,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE65,UK,2014,37.3,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,AT,2014,46.0,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,AT,2019,56.6,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,BE,2014,51.7,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,BE,2019,80.7,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,BG,2014,25.9,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,BG,2019,31.7,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,CY,2014,59.4,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,CY,2019,58.0,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,CZ,2014,34.8,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,CZ,2019,31.8,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,DE,2014,53.8,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,DE,2019,61.9,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,DK,2014,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,DK,2019,87.3,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,EE,2014,22.6,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,EE,2019,21.7,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,EL,2014,37.7,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,EL,2019,35.9,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,ES,2014,56.2,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,ES,2019,53.4,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,EU27_2020,2014,53.3,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,EU27_2020,2019,53.8,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,EU28,2014,52.9,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,FI,2014,72.2,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,FI,2019,70.7,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,FR,2014,78.7,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,FR,2019,73.2,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,HR,2014,32.0,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,HR,2019,42.7,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,HU,2014,43.3,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,HU,2019,53.6,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,IE,2014,71.5,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,IE,2019,76.9,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,IS,2014,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,IS,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,IT,2014,56.3,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,IT,2019,55.3,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,LT,2014,28.0,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,LT,2019,28.3,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,LU,2014,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,LU,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,LV,2014,30.1,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,LV,2019,32.8,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,MT,2014,61.6,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,MT,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,NL,2014,84.2,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,NL,2019,81.6,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,NO,2014,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,NO,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,PL,2014,33.0,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,PL,2019,40.8,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,PT,2014,33.8,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,PT,2019,34.3,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,RO,2014,24.8,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y_GE75,RO,2019,18.5,
