STRUCTURE,STRUCTURE_ID,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,AT,2006,36.10,
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,AT,2014,20.30,b
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,AT,2019,18.30,
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,BE,2001,58.00,
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,BE,2004,64.00,
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,BE,2006,60.12,bd
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,BE,2007,61.79,d
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,BE,2008,62.26,d
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,BE,2009,63.64,d
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,BE,2010,60.12,d
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,BE,2011,58.68,d
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,BE,2012,57.71,d
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,BE,2013,56.40,d
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,BE,2014,56.09,d
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,BE,2015,55.79,d
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,BE,2016,54.66,d
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,BE,2017,52.88,d
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,BE,2018,53.19,d
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,BE,2019,55.10,d
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,BE,2020,62.06,d
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,BE,2021,57.33,d
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,BG,2008,4.80,
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,BG,2014,2.40,
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,BG,2019,3.50,
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,BG,2020,5.80,
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,BG,2021,8.90,
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,CH,2000,51.00,
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,CH,2001,54.00,
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,CH,2002,55.00,
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,CH,2003,58.00,
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,CH,2004,57.00,
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,CH,2005,59.00,
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,CH,2006,61.00,
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,CH,2007,56.00,
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,CH,2010,46.00,b
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,CY,2003,34.00,
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,CY,2008,40.80,
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,CY,2014,32.40,
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,CY,2019,25.90,
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,CY,2020,38.00,bd
dataflow,ESTAT:HLTH_PS_IMMU(1.0),A,PC,CY,2021,43.30,
