STRUCTURE,STRUCTURE_ID,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,AT,2014,6.77,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,AT,2015,6.62,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,AT,2016,6.59,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,AT,2017,6.53,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,AT,2018,6.55,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,AT,2019,6.55,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,AT,2020,5.80,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,AT,2021,6.46,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BE,2006,6.49,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BE,2007,6.47,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BE,2008,6.75,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BE,2009,6.85,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BE,2010,6.62,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BE,2011,6.68,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BE,2012,6.71,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BE,2013,6.67,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BE,2014,6.67,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BE,2015,6.76,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BE,2016,6.89,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BE,2017,6.96,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BE,2018,7.19,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BE,2019,7.30,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BE,2020,6.17,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BE,2021,6.74,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BG,1980,6.50,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BG,1981,6.50,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BG,1982,6.80,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BG,1983,7.00,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BG,1984,7.20,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BG,1985,7.30,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BG,1986,7.60,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BG,1987,7.50,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BG,1988,7.40,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BG,1989,7.20,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BG,1990,6.60,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BG,1991,5.60,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BG,1992,5.80,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BG,1993,5.50,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BG,1994,5.50,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BG,1995,5.50,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BG,1996,5.90,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BG,1997,5.70,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BG,1998,5.50,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BG,1999,5.40,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BG,2014,5.90,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BG,2015,5.90,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BG,2016,6.10,
