STRUCTURE,STRUCTURE_ID,freq,sex,age,isced97,levels,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_ST9(1.0),A,F,TOTAL,ED0-2,MOD,PC,BE,2008,18.4,
dataflow,ESTAT:HLTH_EHIS_ST9(1.0),A,F,TOTAL,ED0-2,MOD,PC,BG,2008,22.2,
dataflow,ESTAT:HLTH_EHIS_ST9(1.0),A,F,TOTAL,ED0-2,MOD,PC,CY,2008,16.3,
dataflow,ESTAT:HLTH_EHIS_ST9(1.0),A,F,TOTAL,ED0-2,MOD,PC,CZ,2008,19.4,
dataflow,ESTAT:HLTH_EHIS_ST9(1.0),A,F,TOTAL,ED0-2,MOD,PC,EL,2008,20.4,
dataflow,ESTAT:HLTH_EHIS_ST9(1.0),A,F,TOTAL,ED0-2,MOD,PC,ES,2008,19.4,
dataflow,ESTAT:HLTH_EHIS_ST9(1.0),A,F,TOTAL,ED0-2,MOD,PC,FR,2008,21,
dataflow,ESTAT:HLTH_EHIS_ST9(1.0),A,F,TOTAL,ED0-2,MOD,PC,HU,2008,20.9,
dataflow,ESTAT:HLTH_EHIS_ST9(1.0),A,F,TOTAL,ED0-2,MOD,PC,LV,2008,23.5,
dataflow,ESTAT:HLTH_EHIS_ST9(1.0),A,F,TOTAL,ED0-2,MOD,PC,MT,2008,23.8,
dataflow,ESTAT:HLTH_EHIS_ST9(1.0),A,F,TOTAL,ED0-2,MOD,PC,RO,2008,35.5,
dataflow,ESTAT:HLTH_EHIS_ST9(1.0),A,F,TOTAL,ED0-2,MOD,PC,SI,2008,16.4,
dataflow,ESTAT:HLTH_EHIS_ST9(1.0),A,F,TOTAL,ED0-2,MOD,PC,SK,2008,18.8,
dataflow,ESTAT:HLTH_EHIS_ST9(1.0),A,F,TOTAL,ED0-2,MOD,PC,TR,2008,23.7,
dataflow,ESTAT:HLTH_EHIS_ST9(1.0),A,F,TOTAL,ED0-2,NONE,PC,BE,2008,41.8,
