STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM030(1.0),A,PC,PB1040,TOTAL,F,AT,2011,5.9,
dataflow,ESTAT:HLTH_DLM030(1.0),A,PC,PB1040,TOTAL,F,BE,2011,11.4,
dataflow,ESTAT:HLTH_DLM030(1.0),A,PC,PB1040,TOTAL,F,BG,2011,13.6,u
dataflow,ESTAT:HLTH_DLM030(1.0),A,PC,PB1040,TOTAL,F,CH,2011,6.1,
dataflow,ESTAT:HLTH_DLM030(1.0),A,PC,PB1040,TOTAL,F,CY,2011,10.3,u
dataflow,ESTAT:HLTH_DLM030(1.0),A,PC,PB1040,TOTAL,F,CZ,2011,17.1,
dataflow,ESTAT:HLTH_DLM030(1.0),A,PC,PB1040,TOTAL,F,DE,2011,12.0,
dataflow,ESTAT:HLTH_DLM030(1.0),A,PC,PB1040,TOTAL,F,DK,2011,10.4,
dataflow,ESTAT:HLTH_DLM030(1.0),A,PC,PB1040,TOTAL,F,EE,2011,14.6,
dataflow,ESTAT:HLTH_DLM030(1.0),A,PC,PB1040,TOTAL,F,EL,2011,16.2,
dataflow,ESTAT:HLTH_DLM030(1.0),A,PC,PB1040,TOTAL,F,ES,2011,23.1,
dataflow,ESTAT:HLTH_DLM030(1.0),A,PC,PB1040,TOTAL,F,EU28,2011,12.0,
dataflow,ESTAT:HLTH_DLM030(1.0),A,PC,PB1040,TOTAL,F,FI,2011,7.6,
dataflow,ESTAT:HLTH_DLM030(1.0),A,PC,PB1040,TOTAL,F,FR,2011,13.8,
dataflow,ESTAT:HLTH_DLM030(1.0),A,PC,PB1040,TOTAL,F,HR,2011,15.5,u
dataflow,ESTAT:HLTH_DLM030(1.0),A,PC,PB1040,TOTAL,F,HU,2011,18.6,
dataflow,ESTAT:HLTH_DLM030(1.0),A,PC,PB1040,TOTAL,F,IE,2011,16.0,
dataflow,ESTAT:HLTH_DLM030(1.0),A,PC,PB1040,TOTAL,F,IS,2011,7.8,
