STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,matagent,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_MAD2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_0100,EU_V,2005,247.8,
dataflow,ESTAT:HSW_AW_MAD2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_0200,EU_V,2005,100.9,
dataflow,ESTAT:HSW_AW_MAD2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_0300,EU_V,2005,1.6,
dataflow,ESTAT:HSW_AW_MAD2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_0400,EU_V,2005,4.4,
dataflow,ESTAT:HSW_AW_MAD2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_0500,EU_V,2005,3.6,
dataflow,ESTAT:HSW_AW_MAD2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_0600,EU_V,2005,87.1,
dataflow,ESTAT:HSW_AW_MAD2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_0700,EU_V,2005,12.8,
dataflow,ESTAT:HSW_AW_MAD2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_0800,EU_V,2005,4.9,
dataflow,ESTAT:HSW_AW_MAD2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_0900,EU_V,2005,7.0,
dataflow,ESTAT:HSW_AW_MAD2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_1000,EU_V,2005,52.2,
dataflow,ESTAT:HSW_AW_MAD2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_1100,EU_V,2005,86.1,
dataflow,ESTAT:HSW_AW_MAD2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_1200,EU_V,2005,56.7,
dataflow,ESTAT:HSW_AW_MAD2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_1300,EU_V,2005,2.8,
dataflow,ESTAT:HSW_AW_MAD2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_1400,EU_V,2005,130.0,
dataflow,ESTAT:HSW_AW_MAD2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_1500,EU_V,2005,19.8,
