STRUCTURE,STRUCTURE_ID,freq,icha_hc,deg_urb,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-24,PC,EU27_2020,2014,10.5,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-24,PC,EU28,2014,11.1,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-24,PC,FI,2014,17.7,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-24,PC,FR,2014,17.5,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-24,PC,HR,2014,4.4,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-24,PC,HU,2014,14.4,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-24,PC,IE,2014,25.6,u
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-24,PC,IS,2014,23.9,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-24,PC,IT,2014,3.2,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-24,PC,LT,2014,2.4,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-24,PC,LU,2014,16.7,u
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-24,PC,LV,2014,6.3,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-24,PC,MT,2014,7.4,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-24,PC,NL,2014,5.4,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-24,PC,NO,2014,10.7,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-24,PC,PL,2014,5.1,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-24,PC,PT,2014,38.5,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-24,PC,RO,2014,0,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-24,PC,SE,2014,22.4,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-24,PC,SI,2014,19.1,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-24,PC,SK,2014,2.4,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-24,PC,TR,2014,0,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-24,PC,UK,2014,13.6,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-29,PC,AT,2014,13.7,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-29,PC,BE,2014,3.9,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-29,PC,BG,2014,6.4,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-29,PC,CY,2014,1.0,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-29,PC,CZ,2014,6.2,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-29,PC,DE,2014,13.2,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-29,PC,DK,2014,29.5,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-29,PC,EE,2014,9.6,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-29,PC,EL,2014,6.0,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-29,PC,ES,2014,3.7,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-29,PC,EU27_2020,2014,10.2,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-29,PC,EU28,2014,11.1,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-29,PC,FI,2014,17.2,
