STRUCTURE,STRUCTURE_ID,freq,unit,lev_perc,sex,age,lev_limit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,PT,2014,53.0,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,PT,2019,55.6,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,RO,2014,54.9,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,RO,2019,58.4,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,RS,2019,60.7,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,SE,2014,49.1,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,SE,2019,50.5,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,SI,2014,47.4,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,SI,2019,48.2,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,SK,2014,54.6,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,SK,2019,58.7,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,TR,2014,57.8,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,TR,2019,60.6,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,UK,2014,39.7,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,NONE,AT,2014,36.1,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,NONE,AT,2019,34.7,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,NONE,BE,2014,52.4,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,NONE,BE,2019,48.9,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,NONE,BG,2014,56.6,
