STRUCTURE,STRUCTURE_ID,freq,unit,facility,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_RS_BDS(1.0),A,HAB_P,HBEDI_PSY,AL,1988,2468.45,
dataflow,ESTAT:HLTH_RS_BDS(1.0),A,HAB_P,HBEDI_PSY,AL,1989,2687.71,
dataflow,ESTAT:HLTH_RS_BDS(1.0),A,HAB_P,HBEDI_PSY,AL,2002,3352.75,
dataflow,ESTAT:HLTH_RS_BDS(1.0),A,HAB_P,HBEDI_PSY,AL,2003,3823.41,
dataflow,ESTAT:HLTH_RS_BDS(1.0),A,HAB_P,HBEDI_PSY,AL,2004,3807.46,
dataflow,ESTAT:HLTH_RS_BDS(1.0),A,HAB_P,HBEDI_PSY,AL,2005,3788.03,
dataflow,ESTAT:HLTH_RS_BDS(1.0),A,HAB_P,HBEDI_PSY,AL,2006,3764.20,
dataflow,ESTAT:HLTH_RS_BDS(1.0),A,HAB_P,HBEDI_PSY,AL,2007,4085.30,
dataflow,ESTAT:HLTH_RS_BDS(1.0),A,HAB_P,HBEDI_PSY,AL,2009,4230.51,
dataflow,ESTAT:HLTH_RS_BDS(1.0),A,HAB_P,HBEDI_PSY,AL,2010,4209.56,
dataflow,ESTAT:HLTH_RS_BDS(1.0),A,HAB_P,HBEDI_PSY,AL,2011,4198.24,
dataflow,ESTAT:HLTH_RS_BDS(1.0),A,HAB_P,HBEDI_PSY,AL,2012,3893.14,
dataflow,ESTAT:HLTH_RS_BDS(1.0),A,HAB_P,HBEDI_PSY,AL,2013,3886.02,
dataflow,ESTAT:HLTH_RS_BDS(1.0),A,HAB_P,HBEDI_PSY,AT,1988,1089.53,
dataflow,ESTAT:HLTH_RS_BDS(1.0),A,HAB_P,HBEDI_PSY,AT,1989,1126.82,
dataflow,ESTAT:HLTH_RS_BDS(1.0),A,HAB_P,HBEDI_PSY,AT,1990,1151.62,
dataflow,ESTAT:HLTH_RS_BDS(1.0),A,HAB_P,HBEDI_PSY,AT,1991,1177.84,
dataflow,ESTAT:HLTH_RS_BDS(1.0),A,HAB_P,HBEDI_PSY,AT,1992,1257.13,
dataflow,ESTAT:HLTH_RS_BDS(1.0),A,HAB_P,HBEDI_PSY,AT,1993,1294.31,
dataflow,ESTAT:HLTH_RS_BDS(1.0),A,HAB_P,HBEDI_PSY,AT,1994,1356.60,
dataflow,ESTAT:HLTH_RS_BDS(1.0),A,HAB_P,HBEDI_PSY,AT,1995,1452.01,
dataflow,ESTAT:HLTH_RS_BDS(1.0),A,HAB_P,HBEDI_PSY,AT,1996,1589.26,
dataflow,ESTAT:HLTH_RS_BDS(1.0),A,HAB_P,HBEDI_PSY,AT,1997,1677.13,
dataflow,ESTAT:HLTH_RS_BDS(1.0),A,HAB_P,HBEDI_PSY,AT,1998,1761.27,
dataflow,ESTAT:HLTH_RS_BDS(1.0),A,HAB_P,HBEDI_PSY,AT,1999,1883.21,
dataflow,ESTAT:HLTH_RS_BDS(1.0),A,HAB_P,HBEDI_PSY,AT,2000,1475.43,
dataflow,ESTAT:HLTH_RS_BDS(1.0),A,HAB_P,HBEDI_PSY,AT,2001,1510.86,
dataflow,ESTAT:HLTH_RS_BDS(1.0),A,HAB_P,HBEDI_PSY,AT,2002,1467.85,
dataflow,ESTAT:HLTH_RS_BDS(1.0),A,HAB_P,HBEDI_PSY,AT,2003,1509.56,
dataflow,ESTAT:HLTH_RS_BDS(1.0),A,HAB_P,HBEDI_PSY,AT,2004,1499.99,
dataflow,ESTAT:HLTH_RS_BDS(1.0),A,HAB_P,HBEDI_PSY,AT,2005,1468.21,
dataflow,ESTAT:HLTH_RS_BDS(1.0),A,HAB_P,HBEDI_PSY,AT,2006,1411.75,
dataflow,ESTAT:HLTH_RS_BDS(1.0),A,HAB_P,HBEDI_PSY,AT,2007,1317.79,
