STRUCTURE,STRUCTURE_ID,freq,unit,sex,n_hprob,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,GE5,LU,1999,0.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,GE5,PT,1999,0.8,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,GE5,SE,1999,0.3,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,GE5,UK,1999,1.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,TOTAL,DE,1999,39.5,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,TOTAL,DK,1999,56.1,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,TOTAL,EL,1999,15.7,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,TOTAL,ES,1999,38.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,TOTAL,EU_V,1999,45.4,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,TOTAL,FI,1999,56.9,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,TOTAL,HU,1999,49.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,TOTAL,IE,1999,36.8,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,TOTAL,IT,1999,36.2,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,TOTAL,LU,1999,36.6,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,TOTAL,PT,1999,43.9,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,TOTAL,SE,1999,60.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,F,TOTAL,UK,1999,45.4,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,1,DE,1999,60.5,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,1,DK,1999,41.7,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,1,EL,1999,79.7,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,1,ES,1999,59.6,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,1,EU_V,1999,48.5,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,1,FI,1999,37.9,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,1,HU,1999,37.6,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,1,IE,1999,58.7,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,1,IT,1999,48.7,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,1,LU,1999,53.7,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,1,PT,1999,50.1,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,1,SE,1999,35.8,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,1,UK,1999,46.9,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,2,DK,1999,1.7,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,2,EL,1999,0.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,2,ES,1999,1.6,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,2,EU_V,1999,3.4,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,2,FI,1999,4.1,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,2,HU,1999,8.2,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,2,IE,1999,2.7,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,2,IT,1999,6.7,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,2,LU,1999,6.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,2,PT,1999,4.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,2,SE,1999,2.9,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,2,UK,1999,4.4,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,3,DK,1999,0.4,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,3,EL,1999,0.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,3,ES,1999,0.4,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,3,EU_V,1999,1.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,3,FI,1999,0.8,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,3,HU,1999,3.6,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,3,IE,1999,0.6,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,3,IT,1999,2.2,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,3,LU,1999,2.6,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,3,PT,1999,0.9,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,3,SE,1999,1.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,3,UK,1999,1.3,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,4,DK,1999,0.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,4,EL,1999,0.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,4,ES,1999,0.1,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,4,EU_V,1999,0.3,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,4,FI,1999,0.2,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,4,HU,1999,0.7,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,4,IE,1999,0.3,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,4,IT,1999,0.4,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,4,LU,1999,0.9,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,4,PT,1999,0.2,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,4,SE,1999,0.1,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,4,UK,1999,0.7,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,GE5,DK,1999,0.1,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,GE5,EL,1999,4.6,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,GE5,ES,1999,0.4,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,GE5,EU_V,1999,1.4,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,GE5,FI,1999,0.1,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,GE5,HU,1999,0.9,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,GE5,IE,1999,1.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,GE5,IT,1999,5.8,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,GE5,LU,1999,0.2,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,GE5,PT,1999,0.8,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,GE5,SE,1999,0.3,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,GE5,UK,1999,1.3,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,TOTAL,DE,1999,60.5,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,TOTAL,DK,1999,43.9,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,TOTAL,EL,1999,84.3,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,TOTAL,ES,1999,62.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,TOTAL,EU_V,1999,54.6,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,TOTAL,FI,1999,43.1,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,TOTAL,HU,1999,51.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,TOTAL,IE,1999,63.2,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,TOTAL,IT,1999,63.8,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,TOTAL,LU,1999,63.4,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,TOTAL,PT,1999,56.1,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,TOTAL,SE,1999,40.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,M,TOTAL,UK,1999,54.6,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,1,DE,1999,100.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,1,DK,1999,94.3,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,1,EL,1999,95.5,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,1,ES,1999,95.3,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,1,EU_V,1999,88.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,1,FI,1999,86.4,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,1,HU,1999,76.9,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,1,IE,1999,92.3,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,1,IT,1999,74.4,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,1,LU,1999,85.6,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,1,PT,1999,87.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,1,SE,1999,87.8,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,1,UK,1999,85.4,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,2,DK,1999,4.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,2,EL,1999,0.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,2,ES,1999,2.7,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,2,EU_V,1999,6.9,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,2,FI,1999,11.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,2,HU,1999,15.7,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,2,IE,1999,4.2,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,2,IT,1999,10.4,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,2,LU,1999,10.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,2,PT,1999,9.1,
