STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,matagent,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,MAT_1700,EU_V,2005,20593,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,MAT_1800,EU_V,2005,25469,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,MAT_1900,EU_V,2005,3193,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,MAT_2000,EU_V,2005,2559,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,MAT_9900,EU_V,2005,21431,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,TOTAL,EU_V,2005,1115415,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,T,A,MAT_0100,EU_V,2005,17149,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,T,A,MAT_0200,EU_V,2005,4027,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,T,A,MAT_0300,EU_V,2005,194,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,T,A,MAT_0400,EU_V,2005,988,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,T,A,MAT_0500,EU_V,2005,475,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,T,A,MAT_0600,EU_V,2005,10949,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,T,A,MAT_0700,EU_V,2005,2163,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,T,A,MAT_0800,EU_V,2005,1001,
dataflow,ESTAT:HSW_AW_MAA1(1.0),A,NR,D_GE4,TOTAL,T,A,MAT_0900,EU_V,2005,9570,
