STRUCTURE,STRUCTURE_ID,freq,unit,resid,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,AT21,2015,0.07,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,AT21,2016,0.14,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,AT21,2017,0.34,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,AT21,2018,0.41,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,AT21,2019,0.34,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,AT21,2020,0.07,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,AT22,2017,0.06,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,AT22,2018,0.06,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,AT22,2019,0.12,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,AT22,2020,0.06,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,AT3,2013,0.02,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,AT3,2014,0.03,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,AT3,2015,0.04,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,AT3,2016,0.09,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,AT3,2017,0.13,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,AT3,2018,0.12,
