STRUCTURE,STRUCTURE_ID,freq,isced97,duration,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y2-3,SK,2008,4.7,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y2-3,TR,2008,1.4,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y_GT3,AT,2008,8.7,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y_GT3,BE,2008,21.9,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y_GT3,BG,2008,10.4,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y_GT3,CY,2008,24.3,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y_GT3,CZ,2008,10.5,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y_GT3,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y_GT3,EE,2008,12.3,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y_GT3,EL,2008,16.8,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y_GT3,ES,2008,12.6,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y_GT3,FR,2008,18.5,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y_GT3,HU,2008,26.2,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y_GT3,LV,2008,23.6,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y_GT3,MT,2008,24.6,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y_GT3,PL,2008,26.9,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y_GT3,RO,2008,2.2,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y_GT3,SI,2008,17.2,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y_GT3,SK,2008,16.7,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y_GT3,TR,2008,3.3,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y_LT1,AT,2008,41.4,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y_LT1,BE,2008,35.4,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y_LT1,BG,2008,7.5,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y_LT1,CY,2008,24.6,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y_LT1,CZ,2008,25.5,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y_LT1,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y_LT1,EE,2008,11.9,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y_LT1,EL,2008,30.7,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y_LT1,ES,2008,33.4,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y_LT1,FR,2008,38.5,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y_LT1,HU,2008,17.9,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y_LT1,LV,2008,27.4,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y_LT1,MT,2008,21.1,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y_LT1,PL,2008,19.2,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y_LT1,RO,2008,1.8,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y_LT1,SI,2008,32.2,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y_LT1,SK,2008,21.7,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y_LT1,TR,2008,7,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,NEV,AT,2008,11.9,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,NEV,BE,2008,18.2,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,NEV,BG,2008,40.6,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,NEV,CY,2008,18.9,
