STRUCTURE,STRUCTURE_ID,freq,sex,age,isced97,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,TOTAL,TOTAL,HU,2008,28.9,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,TOTAL,TOTAL,LV,2008,2.1,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,TOTAL,TOTAL,MT,2008,52.6,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,TOTAL,TOTAL,PL,2008,11.3,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,TOTAL,TOTAL,RO,2008,18.4,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,TOTAL,TOTAL,SI,2008,17.9,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,TOTAL,TOTAL,SK,2008,25.0,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,TOTAL,TOTAL,TR,2008,8.0,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,ED0-2,BG,2008,1.5,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,ED0-2,CY,2008,25.5,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,ED0-2,CZ,2008,9.2,u
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,ED0-2,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,ED0-2,EL,2008,38.2,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,ED0-2,FR,2008,59.4,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,ED0-2,HU,2008,30.6,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,ED0-2,LV,2008,1.6,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,ED0-2,MT,2008,43.3,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,ED0-2,PL,2008,7.5,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,ED0-2,RO,2008,16.1,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,ED0-2,SI,2008,13.4,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,ED0-2,SK,2008,26.7,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,ED0-2,TR,2008,6.9,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,ED3_4,BG,2008,5.7,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,ED3_4,CY,2008,26.4,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,ED3_4,CZ,2008,21.9,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,ED3_4,DE,2008,51.1,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,ED3_4,EE,2008,3.8,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,ED3_4,EL,2008,40.1,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,ED3_4,FR,2008,57.6,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,ED3_4,HU,2008,32.2,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,ED3_4,LV,2008,2.8,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,ED3_4,MT,2008,60.7,u
