STRUCTURE,STRUCTURE_ID,freq,sex,age,frequenc,isced97,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,1D,ED5_6,CZ,2008,39.7,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,1D,ED5_6,EE,2008,65.4,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,1D,ED5_6,EL,2008,50.2,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,1D,ED5_6,ES,2008,49.5,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,1D,ED5_6,FR,2008,25.9,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,1D,ED5_6,HU,2008,43.7,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,1D,ED5_6,LV,2008,51.8,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,1D,ED5_6,MT,2008,40,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,1D,ED5_6,PL,2008,48.6,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,1D,ED5_6,RO,2008,45.3,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,1D,ED5_6,SI,2008,53.4,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,1D,ED5_6,SK,2008,41.3,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,1D,ED5_6,TR,2008,56.5,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,1D,TOTAL,BE,2008,71.4,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,1D,TOTAL,BG,2008,44.1,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,1D,TOTAL,CY,2008,47.8,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,1D,TOTAL,CZ,2008,39.8,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,1D,TOTAL,EE,2008,55,
