STRUCTURE,STRUCTURE_ID,freq,isced97,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y15-24,T,PL,2008,73.4,u
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y15-24,T,RO,2008,78.2,u
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y15-24,T,SI,2008,67.9,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y15-24,T,SK,2008,76.2,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y15-24,T,TR,2008,64.4,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y25-34,F,AT,2008,67.9,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y25-34,F,BE,2008,55.4,u
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y25-34,F,BG,2008,71.5,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y25-34,F,CY,2008,67.9,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y25-34,F,EL,2008,74.3,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y25-34,F,ES,2008,69.1,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y25-34,F,HU,2008,59.5,u
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y25-34,F,LV,2008,65.1,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y25-34,F,PL,2008,64.8,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y25-34,F,RO,2008,65.8,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y25-34,F,TR,2008,53.6,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y25-34,M,AT,2008,65,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y25-34,M,BE,2008,63.9,u
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y25-34,M,BG,2008,73.8,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y25-34,M,CY,2008,72.3,
