STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,workproc,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_WP1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,OTH,EU_V,2005,11955,
dataflow,ESTAT:HSW_AW_WP1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,TOTAL,EU_V,2005,374122,
dataflow,ESTAT:HSW_AW_WP1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,WPR1,EU_V,2005,105101,
dataflow,ESTAT:HSW_AW_WP1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,WPR2,EU_V,2005,4385,
dataflow,ESTAT:HSW_AW_WP1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,WPR3,EU_V,2005,19543,
dataflow,ESTAT:HSW_AW_WP1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,WPR4,EU_V,2005,122195,
dataflow,ESTAT:HSW_AW_WP1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,WPR5,EU_V,2005,59567,
dataflow,ESTAT:HSW_AW_WP1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,WPR6,EU_V,2005,51377,
dataflow,ESTAT:HSW_AW_WP1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,OTH,EU_V,2005,32041,
dataflow,ESTAT:HSW_AW_WP1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,TOTAL,EU_V,2005,1335488,
dataflow,ESTAT:HSW_AW_WP1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,WPR1,EU_V,2005,531050,
dataflow,ESTAT:HSW_AW_WP1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,WPR2,EU_V,2005,222447,
dataflow,ESTAT:HSW_AW_WP1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,WPR3,EU_V,2005,64315,
