STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DP020(1.0),A,THS,NRP,TOTAL,F,BE,2011,,u
dataflow,ESTAT:HLTH_DP020(1.0),A,THS,NRP,TOTAL,F,CH,2011,9.428,
dataflow,ESTAT:HLTH_DP020(1.0),A,THS,NRP,TOTAL,F,CZ,2011,3.114,u
dataflow,ESTAT:HLTH_DP020(1.0),A,THS,NRP,TOTAL,F,DE,2011,870.834,
dataflow,ESTAT:HLTH_DP020(1.0),A,THS,NRP,TOTAL,F,DK,2011,8.31,
dataflow,ESTAT:HLTH_DP020(1.0),A,THS,NRP,TOTAL,F,EE,2011,,u
dataflow,ESTAT:HLTH_DP020(1.0),A,THS,NRP,TOTAL,F,FI,2011,6.013,
dataflow,ESTAT:HLTH_DP020(1.0),A,THS,NRP,TOTAL,F,FR,2011,,u
dataflow,ESTAT:HLTH_DP020(1.0),A,THS,NRP,TOTAL,F,HU,2011,17.909,
dataflow,ESTAT:HLTH_DP020(1.0),A,THS,NRP,TOTAL,F,IE,2011,3.575,
dataflow,ESTAT:HLTH_DP020(1.0),A,THS,NRP,TOTAL,F,IS,2011,1.826,
dataflow,ESTAT:HLTH_DP020(1.0),A,THS,NRP,TOTAL,F,IT,2011,119.091,
dataflow,ESTAT:HLTH_DP020(1.0),A,THS,NRP,TOTAL,F,LU,2011,,u
dataflow,ESTAT:HLTH_DP020(1.0),A,THS,NRP,TOTAL,F,LV,2011,,u
dataflow,ESTAT:HLTH_DP020(1.0),A,THS,NRP,TOTAL,F,NL,2011,15.224,u
dataflow,ESTAT:HLTH_DP020(1.0),A,THS,NRP,TOTAL,F,PT,2011,,u
dataflow,ESTAT:HLTH_DP020(1.0),A,THS,NRP,TOTAL,F,SE,2011,18.644,
dataflow,ESTAT:HLTH_DP020(1.0),A,THS,NRP,TOTAL,F,SK,2011,2.503,u
dataflow,ESTAT:HLTH_DP020(1.0),A,THS,NRP,TOTAL,F,UK,2011,36.203,
dataflow,ESTAT:HLTH_DP020(1.0),A,THS,NRP,TOTAL,M,BE,2011,,u
dataflow,ESTAT:HLTH_DP020(1.0),A,THS,NRP,TOTAL,M,CH,2011,14.774,
dataflow,ESTAT:HLTH_DP020(1.0),A,THS,NRP,TOTAL,M,CZ,2011,2.527,u
dataflow,ESTAT:HLTH_DP020(1.0),A,THS,NRP,TOTAL,M,DE,2011,870.995,
dataflow,ESTAT:HLTH_DP020(1.0),A,THS,NRP,TOTAL,M,DK,2011,6.835,u
dataflow,ESTAT:HLTH_DP020(1.0),A,THS,NRP,TOTAL,M,EE,2011,,u
dataflow,ESTAT:HLTH_DP020(1.0),A,THS,NRP,TOTAL,M,FI,2011,4.294,
dataflow,ESTAT:HLTH_DP020(1.0),A,THS,NRP,TOTAL,M,FR,2011,,u
dataflow,ESTAT:HLTH_DP020(1.0),A,THS,NRP,TOTAL,M,HU,2011,13.863,
dataflow,ESTAT:HLTH_DP020(1.0),A,THS,NRP,TOTAL,M,IE,2011,4.673,
dataflow,ESTAT:HLTH_DP020(1.0),A,THS,NRP,TOTAL,M,IS,2011,2.021,
