STRUCTURE,STRUCTURE_ID,freq,age,isced97,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,F,PC,BE,2008,64.1,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,F,PC,BG,2008,36.1,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,F,PC,CY,2008,37.5,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,F,PC,CZ,2008,63,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,F,PC,EL,2008,43.6,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,F,PC,ES,2008,50.5,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,F,PC,HU,2008,58,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,F,PC,LV,2008,50.1,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,F,PC,MT,2008,37.9,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,F,PC,PL,2008,50.6,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,F,PC,RO,2008,29.5,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,F,PC,SI,2008,49.3,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,F,PC,SK,2008,56.1,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,F,PC,TR,2008,26.7,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,M,PC,AT,2008,37.4,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,M,PC,BE,2008,45,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,M,PC,BG,2008,25.3,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,M,PC,CY,2008,28.2,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,M,PC,CZ,2008,42.8,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,M,PC,EL,2008,31.2,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,M,PC,ES,2008,35.9,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,M,PC,HU,2008,41.5,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,M,PC,LV,2008,26.5,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,M,PC,MT,2008,35.1,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,M,PC,PL,2008,38.3,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,M,PC,RO,2008,22.1,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,M,PC,SI,2008,36.9,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,M,PC,SK,2008,38,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,M,PC,TR,2008,16.5,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,T,PC,AT,2008,44.2,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,T,PC,BE,2008,54.5,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,T,PC,BG,2008,30.7,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,T,PC,CY,2008,32.7,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,T,PC,CZ,2008,52.8,
