STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,M,LV,2012,10.1,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,M,MT,2012,1.6,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,M,NL,2012,129.8,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,M,NO,2012,37.7,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,M,PL,2012,209.0,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,M,PT,2012,17.5,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,M,RO,2012,37.1,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,M,SE,2012,79.5,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,M,SI,2012,8.1,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,M,SK,2012,22.3,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,M,UK,2012,623.0,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,T,AT,2012,99.3,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,T,BE,2012,200.2,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,T,BG,2012,59.8,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,T,CY,2012,7.5,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,T,CZ,2012,77.7,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,T,DE,2012,1203.9,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,T,DK,2012,126.6,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,T,EE,2012,13.5,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,T,EEA,2012,5886.0,e
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,T,EL,2012,56.9,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,T,ES,2012,375.1,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,T,EU27_2007,2012,5772.3,e
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,T,FI,2012,76.1,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,T,FR,2012,486.3,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,T,HU,2012,120.5,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,T,IS,2012,7.6,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,T,IT,2012,349.0,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,T,LT,2012,34.8,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,T,LU,2012,8.5,
