STRUCTURE,STRUCTURE_ID,freq,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,EE,2018,111,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,EE,2019,136,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,EE,2020,184,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,EL,2011,206,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,EL,2012,325,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,EL,2013,303,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,EL,2014,691,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,EL,2015,1049,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,EL,2016,1244,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,EL,2017,1534,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,EL,2018,1427,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,EL,2019,1641,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,EL,2020,1788,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,ES,2011,18181,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,ES,2012,20234,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,ES,2013,19900,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,ES,2014,21964,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,ES,2015,24799,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,ES,2016,23901,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,ES,2017,24885,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,ES,2018,24952,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,ES,2019,25005,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,ES,2020,25248,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,EU27_2020,2011,106807,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,EU27_2020,2012,120898,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,EU27_2020,2013,127379,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,EU27_2020,2014,129957,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,EU27_2020,2015,148976,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,EU27_2020,2016,151593,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,EU27_2020,2017,163941,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,EU27_2020,2018,170702,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,EU27_2020,2019,170762,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,EU27_2020,2020,172212,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,EU28,2011,136137,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,EU28,2012,155126,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,EU28,2013,163472,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,EU28,2014,169171,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,EU28,2015,195194,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,EU28,2016,198898,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,EU28,2017,214225,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,FI,2011,4302,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,FI,2012,4896,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,FI,2013,5128,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,FI,2014,5604,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,FI,2015,5851,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,FI,2016,6206,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,FI,2017,6324,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,FI,2018,6837,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,FI,2019,6749,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,FI,2020,7175,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,FR,2011,22714,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,FR,2012,25727,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,FR,2013,25627,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,FR,2014,25139,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,FR,2015,27939,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,FR,2016,28515,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,FR,2017,28423,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,FR,2018,29034,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,FR,2019,28109,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,FR,2020,25979,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,HR,2011,392,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,HR,2012,491,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,HR,2013,454,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,HR,2014,551,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,HR,2015,663,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,HR,2016,615,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,HR,2017,761,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,HR,2018,795,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,HR,2019,746,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,HR,2020,812,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,HU,2011,1652,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,HU,2012,1915,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,HU,2013,1973,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,HU,2014,2016,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,HU,2015,2374,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,HU,2016,2230,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,HU,2017,2589,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,HU,2018,2681,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,HU,2019,3028,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,HU,2020,2981,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,IE,2011,821,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,IE,2012,979,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,IE,2013,1192,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,IE,2014,1267,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,IE,2015,1422,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,IE,2016,1482,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,IE,2017,1511,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,IE,2018,1544,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,IE,2019,1530,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,IE,2020,1404,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,IS,2011,107,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,IS,2012,111,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,IS,2013,126,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,IS,2014,119,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,IS,2015,138,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,IS,2016,144,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,IS,2017,144,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,IS,2018,175,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,IS,2019,170,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,IS,2020,174,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,IT,2011,16765,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,IT,2012,18206,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,IT,2013,17786,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,IT,2014,18075,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,IT,2015,21727,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,IT,2016,21336,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,IT,2017,24143,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,IT,2018,23466,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,IT,2019,24381,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,IT,2020,25832,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LI,2011,7,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LI,2012,5,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LI,2013,6,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LI,2014,9,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LI,2015,13,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LI,2016,2,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LI,2017,2,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LI,2018,3,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LI,2019,1,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LI,2020,13,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LT,2011,127,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LT,2012,136,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LT,2013,175,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LT,2014,177,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LT,2015,185,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LT,2016,228,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LT,2017,309,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LT,2018,344,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LT,2019,358,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LT,2020,407,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LU,2011,98,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LU,2012,149,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LU,2013,161,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LU,2014,122,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LU,2015,159,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LU,2016,157,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LU,2017,180,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LU,2018,185,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LU,2019,200,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LU,2020,229,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LV,2011,113,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LV,2012,121,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LV,2013,162,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LV,2014,172,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LV,2015,195,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LV,2016,278,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LV,2017,310,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LV,2018,371,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LV,2019,372,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,LV,2020,412,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,MT,2011,88,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,MT,2012,52,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,MT,2013,86,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,MT,2014,94,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,MT,2015,104,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,MT,2016,105,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,MT,2017,134,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,MT,2018,172,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,MT,2019,157,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,MT,2020,219,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,NL,2011,6612,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,NL,2012,7542,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,NL,2013,9335,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,NL,2014,8658,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,NL,2015,9553,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,NL,2016,10060,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,NL,2017,10494,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,NL,2018,10889,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,NL,2019,10396,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,NL,2020,9443,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,NO,2011,1757,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,NO,2012,1955,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,NO,2013,1896,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,NO,2014,2075,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,NO,2015,2262,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,NO,2016,2327,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,NO,2017,2616,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,NO,2018,2697,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,NO,2019,2689,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,NO,2020,2745,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,PL,2011,1511,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,PL,2012,1568,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,PL,2013,1694,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,PL,2014,1514,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,PL,2015,1582,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,PL,2016,1782,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,PL,2017,2147,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,PL,2018,2100,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,PL,2019,1977,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,PL,2020,2546,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,PT,2011,1045,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,PT,2012,1125,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,PT,2013,2359,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,PT,2014,2577,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,PT,2015,3083,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,PT,2016,3275,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,PT,2017,3500,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,PT,2018,4107,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,PT,2019,4643,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,PT,2020,5177,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,RO,2011,848,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,RO,2012,1021,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,RO,2013,1101,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,RO,2014,1256,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,RO,2015,1336,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,RO,2016,1405,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,RO,2017,1595,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,RO,2018,1716,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,RO,2019,1534,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,RO,2020,1552,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,RS,2011,598,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,RS,2012,676,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,RS,2013,827,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,RS,2014,891,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,RS,2015,1120,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,RS,2016,1253,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,RS,2017,1395,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,RS,2018,1383,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,RS,2019,1346,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,RS,2020,1452,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,SE,2011,4713,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,SE,2012,5236,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,SE,2013,5231,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,SE,2014,5312,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,SE,2015,5534,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,SE,2016,5800,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,SE,2017,6120,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,SE,2018,6327,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,SE,2019,6179,
