STRUCTURE,STRUCTURE_ID,freq,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,AT,2011,883,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,AT,2012,1128,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,AT,2013,1493,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,AT,2014,1324,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,AT,2015,1533,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,AT,2016,1756,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,AT,2017,2510,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,AT,2018,2740,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,AT,2019,2670,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,AT,2020,2475,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,BE,2011,3688,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,BE,2012,4400,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,BE,2013,4480,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,BE,2014,4274,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,BE,2015,4800,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,BE,2016,4694,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,BE,2017,5001,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,BE,2018,4775,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,BE,2019,4937,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,BE,2020,4751,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,BG,2011,114,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,BG,2012,156,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,BG,2013,122,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,BG,2014,105,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,BG,2015,118,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,BG,2016,111,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,BG,2017,88,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,BG,2018,83,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,BG,2019,96,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,BG,2020,92,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,CH,2011,3570,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,CH,2012,3995,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,CH,2013,4112,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,CH,2014,3887,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,CH,2015,4402,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,CH,2016,3980,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,CH,2017,4463,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,CH,2018,4403,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,CH,2019,4524,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,CH,2020,4393,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,CY,2011,94,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,CY,2012,111,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,CY,2013,84,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,CY,2014,126,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,CY,2015,171,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,CY,2016,174,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,CY,2017,198,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,CY,2018,240,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,CY,2019,235,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,CY,2020,201,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,CZ,2011,1144,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,CZ,2012,1272,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,CZ,2013,1504,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,CZ,2014,1521,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,CZ,2015,1871,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,CZ,2016,1883,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,CZ,2017,2212,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,CZ,2018,2345,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,CZ,2019,2412,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,CZ,2020,2835,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,DE,2011,18011,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,DE,2012,20789,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,DE,2013,23948,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,DE,2014,24033,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,DE,2015,29574,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,DE,2016,30648,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,DE,2017,35213,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,DE,2018,39417,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,DE,2019,39294,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,DE,2020,40295,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,DK,2011,2036,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,DK,2012,2129,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,DK,2013,2233,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,DK,2014,2330,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,DK,2015,2383,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,DK,2016,2591,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,DK,2017,2762,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,DK,2018,2949,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,DK,2019,2841,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,DK,2020,2736,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,EE,2011,61,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,EE,2012,66,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,EE,2013,57,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,EE,2014,71,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,EE,2015,77,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,EE,2016,74,
dataflow,ESTAT:HLTH_CD_DAR(1.0),A,NR,F,EE,2017,110,
