STRUCTURE,STRUCTURE_ID,freq,unit,severity,bodypart,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,BP5,EU15_NO,2004,149371,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,BP5,EU15_NO,2005,142779,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,BP5,EU15_NO,2006,136032,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,BP5,EU15_NO,2007,184111,p
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,BP6,EU15_NO,1996,109004,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,BP6,EU15_NO,1997,102769,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,BP6,EU15_NO,1998,105135,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,BP6,EU15_NO,1999,105135,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,BP6,EU15_NO,2000,111119,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,BP6,EU15_NO,2001,105384,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,BP6,EU15_NO,2002,100266,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,BP6,EU15_NO,2003,91674,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,BP6,EU15_NO,2004,98326,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,BP6,EU15_NO,2005,99093,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,BP6,EU15_NO,2006,94406,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,BP6,EU15_NO,2007,134467,p
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,BP7,EU15_NO,1996,14486,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,BP7,EU15_NO,1997,10319,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,BP7,EU15_NO,1998,10474,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,BP7,EU15_NO,1999,10892,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,BP7,EU15_NO,2000,11532,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,BP7,EU15_NO,2001,11328,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,BP7,EU15_NO,2002,12868,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,BP7,EU15_NO,2003,11616,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,BP7,EU15_NO,2004,11523,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,BP7,EU15_NO,2005,11797,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,BP7,EU15_NO,2006,11269,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,BP7,EU15_NO,2007,12861,p
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,OTH,EU15_NO,1996,543,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,OTH,EU15_NO,1997,1512,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,OTH,EU15_NO,1998,1504,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,OTH,EU15_NO,1999,893,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,OTH,EU15_NO,2000,897,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,OTH,EU15_NO,2001,482,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,OTH,EU15_NO,2002,1379,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,OTH,EU15_NO,2003,1265,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,OTH,EU15_NO,2004,2297,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,OTH,EU15_NO,2005,1686,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,OTH,EU15_NO,2006,1204,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,OTH,EU15_NO,2007,1852,p
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,TOTAL,EU15_NO,1996,401726,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,TOTAL,EU15_NO,1997,360138,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,TOTAL,EU15_NO,1998,369894,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,TOTAL,EU15_NO,1999,372856,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,TOTAL,EU15_NO,2000,396624,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,TOTAL,EU15_NO,2001,387592,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,TOTAL,EU15_NO,2002,370638,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,TOTAL,EU15_NO,2003,342607,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,TOTAL,EU15_NO,2004,361474,
