STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,F,CH,2011,9.683,
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,F,CZ,2011,3.2,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,F,DE,2011,907.077,
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,F,EE,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,F,ES,2011,185.307,
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,F,FI,2011,6.616,
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,F,FR,2011,186.108,
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,F,HU,2011,14.822,
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,F,IE,2011,2.611,
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,F,IS,2011,1.277,
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,F,IT,2011,171.549,
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,F,LU,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,F,LV,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,F,NL,2011,20.367,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,F,PT,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,F,SE,2011,10.366,
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,F,SK,2011,4.859,
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,F,UK,2011,26.741,
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,M,CH,2011,10.937,
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,M,CZ,2011,1.826,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,M,DE,2011,894.154,
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,M,EE,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,M,ES,2011,282.56,
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,M,FI,2011,5.449,
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,M,FR,2011,141.675,
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,M,HU,2011,12.503,
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,M,IE,2011,3.616,
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,M,IS,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,M,IT,2011,182.174,
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,M,LU,2011,0.607,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,M,LV,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,M,NL,2011,16.97,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,M,PT,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,M,SE,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,M,SK,2011,3.732,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,M,UK,2011,23.233,
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,T,CH,2011,20.621,
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,T,CZ,2011,5.026,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,T,DE,2011,1801.23,
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,T,EE,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,T,ES,2011,467.867,
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,T,FI,2011,12.065,
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,T,FR,2011,327.783,
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,T,HU,2011,27.325,
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,T,IE,2011,6.227,
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,T,IS,2011,2.144,
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,T,IT,2011,353.723,
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,T,LU,2011,1.012,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,T,LV,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,T,NL,2011,37.337,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,T,PT,2011,10.336,
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,T,SE,2011,13.615,
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,T,SK,2011,8.591,
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,TOTAL,T,UK,2011,49.973,
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,Y15-24,F,CH,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,Y15-24,F,CZ,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,Y15-24,F,DE,2011,108.8,
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,Y15-24,F,EE,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,Y15-24,F,ES,2011,5.324,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,Y15-24,F,FI,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,Y15-24,F,FR,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,Y15-24,F,HU,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,Y15-24,F,IE,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,Y15-24,F,IS,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,Y15-24,F,IT,2011,24.186,
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,Y15-24,F,LU,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,Y15-24,F,LV,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,Y15-24,F,NL,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,Y15-24,F,PT,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,Y15-24,F,SE,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,Y15-24,F,SK,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,Y15-24,F,UK,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,Y15-24,M,CH,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,Y15-24,M,CZ,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,Y15-24,M,DE,2011,103.414,
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,Y15-24,M,EE,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,Y15-24,M,ES,2011,5.626,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,Y15-24,M,FI,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,Y15-24,M,FR,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,Y15-24,M,HU,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,Y15-24,M,IE,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,Y15-24,M,IS,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,Y15-24,M,IT,2011,27.319,
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,Y15-24,M,LU,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,Y15-24,M,LV,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,Y15-24,M,NL,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,Y15-24,M,PT,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,Y15-24,M,SE,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,Y15-24,M,SK,2011,,u
dataflow,ESTAT:HLTH_DP040(1.0),A,THS,NRP,Y15-24,M,UK,2011,,u
