STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,workproc,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_WP2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,OTH,EU_V,2005,33.0,
dataflow,ESTAT:HSW_AW_WP2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,TOTAL,EU_V,2005,1031.2,
dataflow,ESTAT:HSW_AW_WP2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,WPR1,EU_V,2005,289.7,
dataflow,ESTAT:HSW_AW_WP2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,WPR2,EU_V,2005,12.1,
dataflow,ESTAT:HSW_AW_WP2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,WPR3,EU_V,2005,53.9,
dataflow,ESTAT:HSW_AW_WP2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,WPR4,EU_V,2005,336.8,
dataflow,ESTAT:HSW_AW_WP2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,WPR5,EU_V,2005,164.2,
dataflow,ESTAT:HSW_AW_WP2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,WPR6,EU_V,2005,141.6,
dataflow,ESTAT:HSW_AW_WP2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,OTH,EU_V,2005,68.4,
dataflow,ESTAT:HSW_AW_WP2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,TOTAL,EU_V,2005,2850.9,
dataflow,ESTAT:HSW_AW_WP2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,WPR1,EU_V,2005,1133.6,
dataflow,ESTAT:HSW_AW_WP2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,WPR2,EU_V,2005,474.9,
dataflow,ESTAT:HSW_AW_WP2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,WPR3,EU_V,2005,137.3,
dataflow,ESTAT:HSW_AW_WP2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,WPR4,EU_V,2005,221.0,
dataflow,ESTAT:HSW_AW_WP2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,WPR5,EU_V,2005,489.1,
dataflow,ESTAT:HSW_AW_WP2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,WPR6,EU_V,2005,326.6,
dataflow,ESTAT:HSW_AW_WP2(1.0),A,RT,D_GE4,TOTAL,T,A,OTH,EU_V,2005,10.3,
dataflow,ESTAT:HSW_AW_WP2(1.0),A,RT,D_GE4,TOTAL,T,A,TOTAL,EU_V,2005,1708.0,
dataflow,ESTAT:HSW_AW_WP2(1.0),A,RT,D_GE4,TOTAL,T,A,WPR1,EU_V,2005,187.0,
dataflow,ESTAT:HSW_AW_WP2(1.0),A,RT,D_GE4,TOTAL,T,A,WPR2,EU_V,2005,23.4,
dataflow,ESTAT:HSW_AW_WP2(1.0),A,RT,D_GE4,TOTAL,T,A,WPR3,EU_V,2005,1099.2,
dataflow,ESTAT:HSW_AW_WP2(1.0),A,RT,D_GE4,TOTAL,T,A,WPR4,EU_V,2005,61.0,
dataflow,ESTAT:HSW_AW_WP2(1.0),A,RT,D_GE4,TOTAL,T,A,WPR5,EU_V,2005,148.9,
dataflow,ESTAT:HSW_AW_WP2(1.0),A,RT,D_GE4,TOTAL,T,A,WPR6,EU_V,2005,178.2,
dataflow,ESTAT:HSW_AW_WP2(1.0),A,RT,D_GE4,TOTAL,T,B,OTH,EU_V,2005,249.5,
dataflow,ESTAT:HSW_AW_WP2(1.0),A,RT,D_GE4,TOTAL,T,B,TOTAL,EU_V,2005,4503.3,
dataflow,ESTAT:HSW_AW_WP2(1.0),A,RT,D_GE4,TOTAL,T,B,WPR1,EU_V,2005,920.9,
dataflow,ESTAT:HSW_AW_WP2(1.0),A,RT,D_GE4,TOTAL,T,B,WPR2,EU_V,2005,47.3,
dataflow,ESTAT:HSW_AW_WP2(1.0),A,RT,D_GE4,TOTAL,T,B,WPR3,EU_V,2005,2724.2,
dataflow,ESTAT:HSW_AW_WP2(1.0),A,RT,D_GE4,TOTAL,T,B,WPR4,EU_V,2005,58.2,
dataflow,ESTAT:HSW_AW_WP2(1.0),A,RT,D_GE4,TOTAL,T,B,WPR5,EU_V,2005,335.2,
dataflow,ESTAT:HSW_AW_WP2(1.0),A,RT,D_GE4,TOTAL,T,B,WPR6,EU_V,2005,168.1,
dataflow,ESTAT:HSW_AW_WP2(1.0),A,RT,D_GE4,TOTAL,T,C,OTH,EU_V,2005,84.2,
