STRUCTURE,STRUCTURE_ID,freq,unit,wstatus,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,F,BE,2012,131.3,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,F,BG,2012,70.7,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,F,CY,2012,3.5,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,F,CZ,2012,56.9,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,F,DE,2012,1431.5,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,F,DK,2012,67.6,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,F,EE,2012,20.0,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,F,EEA,2012,4691.4,e
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,F,EL,2012,58.2,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,F,ES,2012,212.3,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,F,EU27_2007,2012,4602.8,e
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,F,FI,2012,64.6,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,F,FR,2012,524.0,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,F,HU,2012,92.4,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,F,IS,2012,4.6,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,F,IT,2012,186.9,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,F,LT,2012,28.8,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,F,LU,2012,6.3,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,F,LV,2012,32.2,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,F,MT,2012,1.2,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,F,NL,2012,234.0,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,F,NO,2012,84.1,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,F,PL,2012,209.7,
