STRUCTURE,STRUCTURE_ID,freq,unit,barrier,hlth_pb,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,M,RO,2012,342.8,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,M,SE,2012,238.1,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,M,SI,2012,53.2,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,M,SK,2012,111.7,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,M,UK,2012,1245.2,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,AT,2012,505.9,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,BE,2012,622.2,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,BG,2012,543.9,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,CY,2012,34.4,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,CZ,2012,347.2,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,DE,2012,5373.9,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,DK,2012,305.2,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,EE,2012,87.3,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,EEA,2012,23985.4,e
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,EL,2012,510.7,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,ES,2012,1976.4,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,EU27_2007,2012,23726.8,e
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,FI,2012,320.8,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,FR,2012,2358.0,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,HU,2012,558.0,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,IS,2012,18.5,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,IT,2012,1968.2,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,LT,2012,197.6,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,LU,2012,28.5,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,LV,2012,144.5,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,MT,2012,19.2,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,NL,2012,900.4,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,NO,2012,240.1,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,PL,2012,1854.6,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,PT,2012,472.7,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,RO,2012,760.3,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,SE,2012,554.0,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,SI,2012,108.5,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,SK,2012,327.4,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,UK,2012,2847.2,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,F,AT,2012,57.0,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,F,BE,2012,31.3,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,F,BG,2012,24.6,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,F,CY,2012,,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,F,CZ,2012,13.0,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,F,DE,2012,145.1,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,F,DK,2012,8.4,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,F,EE,2012,,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,F,EEA,2012,1023.8,e
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,F,EL,2012,52.1,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,F,ES,2012,,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,F,EU27_2007,2012,1008.1,e
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,F,FI,2012,,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,F,FR,2012,57.3,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,F,HU,2012,57.4,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,F,IS,2012,,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,F,IT,2012,174.7,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,F,LT,2012,8.4,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,F,LU,2012,,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,F,LV,2012,3.2,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,F,MT,2012,,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,F,NL,2012,37.4,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,F,NO,2012,15.5,u
