STRUCTURE,STRUCTURE_ID,freq,unit,hhcomp,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DP070(1.0),A,THS,HHC_20,PB1040,TOTAL,F,AT,2011,172.94,
dataflow,ESTAT:HLTH_DP070(1.0),A,THS,HHC_20,PB1040,TOTAL,F,BE,2011,148.652,
dataflow,ESTAT:HLTH_DP070(1.0),A,THS,HHC_20,PB1040,TOTAL,F,BG,2011,42.154,
dataflow,ESTAT:HLTH_DP070(1.0),A,THS,HHC_20,PB1040,TOTAL,F,CH,2011,520.749,
dataflow,ESTAT:HLTH_DP070(1.0),A,THS,HHC_20,PB1040,TOTAL,F,CY,2011,4.364,
dataflow,ESTAT:HLTH_DP070(1.0),A,THS,HHC_20,PB1040,TOTAL,F,CZ,2011,66.813,
dataflow,ESTAT:HLTH_DP070(1.0),A,THS,HHC_20,PB1040,TOTAL,F,DE,2011,1079.545,
dataflow,ESTAT:HLTH_DP070(1.0),A,THS,HHC_20,PB1040,TOTAL,F,DK,2011,24.91,
dataflow,ESTAT:HLTH_DP070(1.0),A,THS,HHC_20,PB1040,TOTAL,F,EE,2011,27.26,
dataflow,ESTAT:HLTH_DP070(1.0),A,THS,HHC_20,PB1040,TOTAL,F,EL,2011,36.665,
dataflow,ESTAT:HLTH_DP070(1.0),A,THS,HHC_20,PB1040,TOTAL,F,ES,2011,156.222,
dataflow,ESTAT:HLTH_DP070(1.0),A,THS,HHC_20,PB1040,TOTAL,F,FI,2011,117.377,
dataflow,ESTAT:HLTH_DP070(1.0),A,THS,HHC_20,PB1040,TOTAL,F,FR,2011,1217.994,
dataflow,ESTAT:HLTH_DP070(1.0),A,THS,HHC_20,PB1040,TOTAL,F,HR,2011,26.157,u
dataflow,ESTAT:HLTH_DP070(1.0),A,THS,HHC_20,PB1040,TOTAL,F,HU,2011,66.338,
dataflow,ESTAT:HLTH_DP070(1.0),A,THS,HHC_20,PB1040,TOTAL,F,IE,2011,16.719,
dataflow,ESTAT:HLTH_DP070(1.0),A,THS,HHC_20,PB1040,TOTAL,F,IT,2011,275.24,
dataflow,ESTAT:HLTH_DP070(1.0),A,THS,HHC_20,PB1040,TOTAL,F,LT,2011,40.044,
dataflow,ESTAT:HLTH_DP070(1.0),A,THS,HHC_20,PB1040,TOTAL,F,LU,2011,9.95,
dataflow,ESTAT:HLTH_DP070(1.0),A,THS,HHC_20,PB1040,TOTAL,F,LV,2011,34.037,
dataflow,ESTAT:HLTH_DP070(1.0),A,THS,HHC_20,PB1040,TOTAL,F,MT,2011,,u
dataflow,ESTAT:HLTH_DP070(1.0),A,THS,HHC_20,PB1040,TOTAL,F,NL,2011,275.23,
dataflow,ESTAT:HLTH_DP070(1.0),A,THS,HHC_20,PB1040,TOTAL,F,PL,2011,271.936,
dataflow,ESTAT:HLTH_DP070(1.0),A,THS,HHC_20,PB1040,TOTAL,F,PT,2011,72.915,
dataflow,ESTAT:HLTH_DP070(1.0),A,THS,HHC_20,PB1040,TOTAL,F,RO,2011,105.038,
dataflow,ESTAT:HLTH_DP070(1.0),A,THS,HHC_20,PB1040,TOTAL,F,SI,2011,22.938,
dataflow,ESTAT:HLTH_DP070(1.0),A,THS,HHC_20,PB1040,TOTAL,F,SK,2011,24.907,
