STRUCTURE,STRUCTURE_ID,freq,sex,age,quant_inc,lev_diff,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,MOD,PC,FR,2019,21.4,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,MOD,PC,HR,2019,20.3,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,MOD,PC,HU,2019,21.4,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,MOD,PC,IE,2019,19.1,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,MOD,PC,IS,2019,30.7,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,MOD,PC,IT,2019,13.4,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,MOD,PC,LT,2019,35.9,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,MOD,PC,LU,2019,25.3,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,MOD,PC,LV,2019,34.9,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,MOD,PC,MT,2019,23.7,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,MOD,PC,NL,2019,31.9,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,MOD,PC,NO,2019,8.0,u
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,MOD,PC,PL,2019,35.3,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,MOD,PC,PT,2019,21.4,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,MOD,PC,RO,2019,18.2,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,MOD,PC,RS,2019,21.2,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,MOD,PC,SE,2019,34.6,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,MOD,PC,SI,2019,12.0,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,MOD,PC,SK,2019,35.7,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,MOD,PC,TR,2019,22.2,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,NONE,PC,AT,2019,65.7,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,NONE,PC,BE,2019,62.9,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,NONE,PC,BG,2019,57.8,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,NONE,PC,CY,2019,69.3,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,NONE,PC,CZ,2019,52.2,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,NONE,PC,DE,2019,41.6,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,NONE,PC,DK,2019,67.1,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,NONE,PC,EE,2019,70.0,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,NONE,PC,EL,2019,82.6,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,NONE,PC,ES,2019,79.5,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,NONE,PC,EU27_2020,2019,56.3,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,NONE,PC,FI,2019,61.9,u
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,NONE,PC,FR,2019,55.8,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,NONE,PC,HR,2019,68.7,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,NONE,PC,HU,2019,57.8,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,NONE,PC,IE,2019,63.5,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,NONE,PC,IS,2019,53.3,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,NONE,PC,IT,2019,72.4,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,NONE,PC,LT,2019,37.7,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,NONE,PC,LU,2019,62.3,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,NONE,PC,LV,2019,36.0,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,NONE,PC,MT,2019,64.8,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,NONE,PC,NL,2019,34.1,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,NONE,PC,NO,2019,74.1,u
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,NONE,PC,PL,2019,45.4,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,NONE,PC,PT,2019,63.8,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,NONE,PC,RO,2019,47.0,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,NONE,PC,RS,2019,61.4,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,NONE,PC,SE,2019,38.7,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,NONE,PC,SI,2019,65.2,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,NONE,PC,SK,2019,42.3,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,NONE,PC,TR,2019,38.3,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,SEV,PC,AT,2019,15.7,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,SEV,PC,BE,2019,21.4,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,SEV,PC,BG,2019,20.2,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,SEV,PC,CY,2019,16.2,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,SEV,PC,CZ,2019,22.1,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,SEV,PC,DE,2019,17.9,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,SEV,PC,DK,2019,14.3,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,SEV,PC,EE,2019,24.2,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,SEV,PC,EL,2019,10.1,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,SEV,PC,ES,2019,13.6,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,SEV,PC,EU27_2020,2019,19.2,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,SEV,PC,FI,2019,6.5,u
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,SEV,PC,FR,2019,22.8,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,SEV,PC,HR,2019,11.0,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,SEV,PC,HU,2019,20.8,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,SEV,PC,IE,2019,17.4,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,SEV,PC,IS,2019,15.9,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,SEV,PC,IT,2019,14.1,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,SEV,PC,LT,2019,26.5,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,SEV,PC,LU,2019,12.4,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,SEV,PC,LV,2019,29.2,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,SEV,PC,MT,2019,11.5,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,SEV,PC,NL,2019,33.9,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,SEV,PC,NO,2019,17.8,u
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,SEV,PC,PL,2019,19.2,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,SEV,PC,PT,2019,14.9,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,SEV,PC,RO,2019,34.7,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,SEV,PC,RS,2019,17.4,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,SEV,PC,SE,2019,26.7,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,SEV,PC,SI,2019,22.8,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,SEV,PC,SK,2019,22.0,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,SEV,PC,TR,2019,39.5,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,LTD,PC,AT,2019,24.3,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,LTD,PC,BE,2019,32.9,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,LTD,PC,BG,2019,39.9,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,LTD,PC,CY,2019,31.1,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,LTD,PC,CZ,2019,48.4,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,LTD,PC,DE,2019,36.6,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,LTD,PC,DK,2019,17.2,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,LTD,PC,EE,2019,28.2,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,LTD,PC,EL,2019,20.1,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,LTD,PC,ES,2019,24.2,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,LTD,PC,EU27_2020,2019,34.4,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,LTD,PC,FI,2019,34.9,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,LTD,PC,FR,2019,34.2,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,LTD,PC,HR,2019,45.2,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,LTD,PC,HU,2019,32.3,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,LTD,PC,IE,2019,23.0,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,LTD,PC,IS,2019,53.7,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,LTD,PC,IT,2019,22.3,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,LTD,PC,LT,2019,55.7,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,LTD,PC,LU,2019,32.4,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,LTD,PC,LV,2019,50.1,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,LTD,PC,MT,2019,32.4,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,LTD,PC,NL,2019,64.2,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,LTD,PC,NO,2019,29.3,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,LTD,PC,PL,2019,39.5,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,LTD,PC,PT,2019,40.1,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,LTD,PC,RO,2019,59.6,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,LTD,PC,RS,2019,26.2,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,LTD,PC,SE,2019,37.4,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,LTD,PC,SI,2019,27.7,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,LTD,PC,SK,2019,47.2,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,LTD,PC,TR,2019,55.5,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,MOD,PC,AT,2019,14.4,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,MOD,PC,BE,2019,17.1,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,MOD,PC,BG,2019,19.6,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,MOD,PC,CY,2019,20.5,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,MOD,PC,CZ,2019,31.5,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,MOD,PC,DE,2019,25.3,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,MOD,PC,DK,2019,10.3,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,MOD,PC,EE,2019,3.5,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,MOD,PC,EL,2019,13.7,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,MOD,PC,ES,2019,8.6,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,MOD,PC,EU27_2020,2019,20.2,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,MOD,PC,FI,2019,26.6,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,MOD,PC,FR,2019,19.0,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,MOD,PC,HR,2019,30.2,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,MOD,PC,HU,2019,25.3,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,MOD,PC,IE,2019,12.5,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,MOD,PC,IS,2019,34.4,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,MOD,PC,IT,2019,15.1,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,MOD,PC,LT,2019,40.2,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,MOD,PC,LU,2019,25.7,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,MOD,PC,LV,2019,30.9,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,MOD,PC,MT,2019,22.8,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,MOD,PC,NL,2019,21.5,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,MOD,PC,NO,2019,21.2,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,MOD,PC,PL,2019,27.6,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,MOD,PC,PT,2019,18.6,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,MOD,PC,RO,2019,24.4,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,MOD,PC,RS,2019,14.1,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,MOD,PC,SE,2019,28.3,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,MOD,PC,SI,2019,13.4,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,MOD,PC,SK,2019,27.6,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,MOD,PC,TR,2019,22.5,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,NONE,PC,AT,2019,75.7,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,NONE,PC,BE,2019,67.1,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,NONE,PC,BG,2019,60.1,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,NONE,PC,CY,2019,68.9,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,NONE,PC,CZ,2019,51.6,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,NONE,PC,DE,2019,63.4,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,NONE,PC,DK,2019,82.8,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,NONE,PC,EE,2019,71.8,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,NONE,PC,EL,2019,79.9,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,NONE,PC,ES,2019,75.8,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,NONE,PC,EU27_2020,2019,65.6,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,NONE,PC,FI,2019,65.1,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,NONE,PC,FR,2019,65.8,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,NONE,PC,HR,2019,54.8,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,NONE,PC,HU,2019,67.7,
