STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,workproc,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,D,WPR6,EU_V,2005,7.9,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,E,OTH,EU_V,2005,3.8,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,E,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,E,WPR1,EU_V,2005,23.7,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,E,WPR2,EU_V,2005,8.4,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,E,WPR3,EU_V,2005,1.5,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,E,WPR4,EU_V,2005,8.4,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,E,WPR5,EU_V,2005,36.3,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,E,WPR6,EU_V,2005,17.8,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,F,OTH,EU_V,2005,2.2,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,F,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,F,WPR1,EU_V,2005,20.2,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,F,WPR2,EU_V,2005,54.8,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,F,WPR3,EU_V,2005,0.3,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,F,WPR4,EU_V,2005,2.1,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,F,WPR5,EU_V,2005,13.9,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,F,WPR6,EU_V,2005,6.5,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,G,OTH,EU_V,2005,2.5,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,G,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,G,WPR1,EU_V,2005,43.0,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,G,WPR2,EU_V,2005,2.3,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,G,WPR3,EU_V,2005,0.6,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,G,WPR4,EU_V,2005,23.6,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,G,WPR5,EU_V,2005,17.3,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,G,WPR6,EU_V,2005,10.6,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,H,OTH,EU_V,2005,5.8,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,H,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,H,WPR1,EU_V,2005,24.4,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,H,WPR2,EU_V,2005,1.7,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,H,WPR3,EU_V,2005,0.4,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,H,WPR4,EU_V,2005,37.1,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,H,WPR5,EU_V,2005,21.5,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,H,WPR6,EU_V,2005,9.2,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,I,OTH,EU_V,2005,3.3,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,I,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,I,WPR1,EU_V,2005,34.9,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,I,WPR2,EU_V,2005,2.3,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,I,WPR3,EU_V,2005,0.3,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,I,WPR4,EU_V,2005,13.0,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,I,WPR5,EU_V,2005,13.9,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,I,WPR6,EU_V,2005,32.2,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,J,OTH,EU_V,2005,2.9,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,J,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,J,WPR1,EU_V,2005,6.8,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,J,WPR2,EU_V,2005,1.0,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,J,WPR3,EU_V,2005,0.3,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,J,WPR4,EU_V,2005,46.8,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,J,WPR5,EU_V,2005,11.2,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,J,WPR6,EU_V,2005,31.0,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,K,OTH,EU_V,2005,3.2,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,K,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,K,WPR1,EU_V,2005,23.5,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,K,WPR2,EU_V,2005,6.0,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,K,WPR3,EU_V,2005,1.3,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,K,WPR4,EU_V,2005,16.2,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,K,WPR5,EU_V,2005,35.0,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,K,WPR6,EU_V,2005,14.9,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,L,OTH,EU_V,2005,5.5,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,L,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,L,WPR1,EU_V,2005,8.2,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,L,WPR2,EU_V,2005,6.5,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,L,WPR3,EU_V,2005,5.6,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,L,WPR4,EU_V,2005,33.4,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,L,WPR5,EU_V,2005,18.9,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,L,WPR6,EU_V,2005,21.8,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,M,OTH,EU_V,2005,4.6,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,M,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,M,WPR1,EU_V,2005,11.9,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,M,WPR2,EU_V,2005,2.3,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,M,WPR3,EU_V,2005,1.4,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,M,WPR4,EU_V,2005,35.0,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,M,WPR5,EU_V,2005,20.8,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,M,WPR6,EU_V,2005,23.9,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,N,OTH,EU_V,2005,3.6,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,N,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,N,WPR1,EU_V,2005,7.3,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,N,WPR2,EU_V,2005,0.9,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,N,WPR3,EU_V,2005,0.7,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,N,WPR4,EU_V,2005,63.4,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,N,WPR5,EU_V,2005,11.0,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,N,WPR6,EU_V,2005,13.1,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,O,OTH,EU_V,2005,4.6,
