STRUCTURE,STRUCTURE_ID,freq,sex,age,isced11,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,HR,2007,,u
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,HR,2013,63.0,bu
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,HR,2020,,bu
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,HU,2007,33.8,
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,HU,2013,58.6,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,HU,2020,69.2,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,IE,2007,10.8,
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,IE,2013,26.8,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,IE,2020,49.8,bu
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,IS,2007,41.9,
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,IS,2020,75.2,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,IT,2007,29.4,d
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,IT,2013,67.9,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,IT,2020,50.5,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,LT,2007,,u
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,LT,2013,,bu
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,LT,2020,52.1,bu
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,LU,2007,,du
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,LU,2013,68.3,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,LU,2020,83.0,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,LV,2007,,u
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,LV,2013,55.9,bu
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,LV,2020,78.6,bu
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,MT,2007,30.1,d
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,MT,2013,26.0,bu
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,MT,2020,39.2,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,NL,2007,38.4,d
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,NL,2020,69.4,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,NO,2007,15.7,
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,NO,2013,28.3,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,NO,2020,81.9,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,PL,2007,32.1,d
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,PL,2013,41.9,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,PL,2020,57.3,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,PT,2007,,u
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,PT,2013,74.2,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,PT,2020,79.2,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,RO,2007,42.8,
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,RO,2013,46.5,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,RO,2020,71.6,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,SE,2007,42.0,
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,SE,2013,52.2,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,SE,2020,69.5,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,SI,2007,46.0,du
