STRUCTURE,STRUCTURE_ID,freq,unit,barrier,hhcomp,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,M,IS,2012,0.4,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,M,IT,2012,441.5,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,M,LT,2012,15.6,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,M,LU,2012,2.5,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,M,LV,2012,14.0,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,M,MT,2012,1.5,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,M,NL,2012,88.7,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,M,NO,2012,24.4,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,M,PL,2012,219.2,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,M,PT,2012,69.3,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,M,RO,2012,100.1,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,M,SE,2012,30.8,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,M,SI,2012,12.5,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,M,SK,2012,16.2,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,M,UK,2012,417.8,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,T,AT,2012,61.5,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,T,BE,2012,149.1,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,T,BG,2012,126.4,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,T,CY,2012,16.8,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,T,CZ,2012,233.0,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,T,DE,2012,1607.9,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,T,DK,2012,96.9,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,T,EE,2012,16.3,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,T,EEA,2012,7656.8,e
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,T,EL,2012,196.6,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,T,ES,2012,582.0,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,T,EU27_2007,2012,7587.6,e
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,T,FI,2012,40.7,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,T,FR,2012,858.4,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,T,HU,2012,254.6,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,T,IS,2012,2.1,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,T,IT,2012,1170.2,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,T,LT,2012,36.7,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,T,LU,2012,4.7,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,T,LV,2012,27.2,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,T,MT,2012,3.4,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,T,NL,2012,198.3,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,T,NO,2012,67.1,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,T,PL,2012,520.4,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,T,PT,2012,141.2,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,T,RO,2012,155.5,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,T,SE,2012,56.2,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,T,SI,2012,29.3,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,T,SK,2012,53.4,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,T,UK,2012,950.6,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,F,AT,2012,,u
