STRUCTURE,STRUCTURE_ID,freq,unit,age,sex,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,ACC_TRA_OTH,EU27_2020,2014,1897,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,ACC_TRA_OTH,EU27_2020,2015,1829,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,ACC_TRA_OTH,EU27_2020,2016,1911,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,ACC_TRA_OTH,EU27_2020,2017,1804,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,ACC_TRA_OTH,EU27_2020,2018,1739,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,ACC_TRA_OTH,EU27_2020,2019,1656,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,ACC_TRA_OTH,EU27_2020,2020,1399,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,ACC_TRA_OTH,EU28,2014,1978,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,ACC_TRA_OTH,EU28,2015,1929,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,ACC_TRA_OTH,EU28,2016,2011,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,ACC_TRA_OTH,EU28,2017,1919,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V,EU27_2020,2014,6557,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V,EU27_2020,2015,6676,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V,EU27_2020,2016,6515,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V,EU27_2020,2017,6308,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V,EU27_2020,2018,6260,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V,EU27_2020,2019,5926,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V,EU27_2020,2020,4828,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V,EU28,2014,6983,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V,EU28,2015,7071,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V,EU28,2016,6922,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V,EU28,2017,6657,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V01-V09,EU27_2020,2014,1781,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V01-V09,EU27_2020,2015,1765,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V01-V09,EU27_2020,2016,1710,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V01-V09,EU27_2020,2017,1752,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V01-V09,EU27_2020,2018,1698,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V01-V09,EU27_2020,2019,1577,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V01-V09,EU27_2020,2020,1222,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V01-V09,EU28,2014,1902,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V01-V09,EU28,2015,1864,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V01-V09,EU28,2016,1807,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V01-V09,EU28,2017,1835,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V10-V19,EU27_2020,2014,394,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V10-V19,EU27_2020,2015,422,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V10-V19,EU27_2020,2016,379,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V10-V19,EU27_2020,2017,369,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V10-V19,EU27_2020,2018,406,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V10-V19,EU27_2020,2019,411,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V10-V19,EU27_2020,2020,388,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V10-V19,EU28,2014,405,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V10-V19,EU28,2015,437,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V10-V19,EU28,2016,390,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V10-V19,EU28,2017,374,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V20-V29,EU27_2020,2014,184,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V20-V29,EU27_2020,2015,224,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V20-V29,EU27_2020,2016,229,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V20-V29,EU27_2020,2017,189,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V20-V29,EU27_2020,2018,188,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V20-V29,EU27_2020,2019,221,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V20-V29,EU27_2020,2020,169,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V20-V29,EU28,2014,200,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V20-V29,EU28,2015,236,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V20-V29,EU28,2016,241,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V20-V29,EU28,2017,198,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V30-V39,EU27_2020,2014,21,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V30-V39,EU27_2020,2015,14,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V30-V39,EU27_2020,2016,19,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V30-V39,EU27_2020,2017,12,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V30-V39,EU27_2020,2018,24,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V30-V39,EU27_2020,2019,22,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V30-V39,EU27_2020,2020,21,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V30-V39,EU28,2014,23,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V30-V39,EU28,2015,16,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V30-V39,EU28,2016,22,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V30-V39,EU28,2017,16,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V40-V49,EU27_2020,2014,2151,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V40-V49,EU27_2020,2015,2119,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V40-V49,EU27_2020,2016,2098,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V40-V49,EU27_2020,2017,2049,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V40-V49,EU27_2020,2018,2084,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V40-V49,EU27_2020,2019,1901,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V40-V49,EU27_2020,2020,1553,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V40-V49,EU28,2014,2344,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V40-V49,EU28,2015,2271,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V40-V49,EU28,2016,2270,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V40-V49,EU28,2017,2175,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V50-V59,EU27_2020,2014,30,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V50-V59,EU27_2020,2015,39,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V50-V59,EU27_2020,2016,15,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V50-V59,EU27_2020,2017,28,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V50-V59,EU27_2020,2018,40,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V50-V59,EU27_2020,2019,20,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V50-V59,EU27_2020,2020,26,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V50-V59,EU28,2014,30,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V50-V59,EU28,2015,41,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V50-V59,EU28,2016,17,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V50-V59,EU28,2017,29,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V60-V69,EU27_2020,2014,19,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V60-V69,EU27_2020,2015,14,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V60-V69,EU27_2020,2016,13,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V60-V69,EU27_2020,2017,7,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V60-V69,EU27_2020,2018,13,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V60-V69,EU27_2020,2019,12,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V60-V69,EU27_2020,2020,12,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V60-V69,EU28,2014,19,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V60-V69,EU28,2015,15,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V60-V69,EU28,2016,13,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V60-V69,EU28,2017,7,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V70-V79,EU27_2020,2014,24,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V70-V79,EU27_2020,2015,25,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V70-V79,EU27_2020,2016,32,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V70-V79,EU27_2020,2017,33,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V70-V79,EU27_2020,2018,31,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V70-V79,EU27_2020,2019,44,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V70-V79,EU27_2020,2020,8,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V70-V79,EU28,2014,25,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V70-V79,EU28,2015,30,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V70-V79,EU28,2016,38,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,F,V70-V79,EU28,2017,36,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,ACC_TRA_OTH,EU27_2020,2014,6285,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,ACC_TRA_OTH,EU27_2020,2015,6104,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,ACC_TRA_OTH,EU27_2020,2016,6155,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,ACC_TRA_OTH,EU27_2020,2017,5948,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,ACC_TRA_OTH,EU27_2020,2018,5768,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,ACC_TRA_OTH,EU27_2020,2019,5648,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,ACC_TRA_OTH,EU27_2020,2020,5179,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,ACC_TRA_OTH,EU28,2014,6508,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,ACC_TRA_OTH,EU28,2015,6376,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,ACC_TRA_OTH,EU28,2016,6475,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,ACC_TRA_OTH,EU28,2017,6297,
