STRUCTURE,STRUCTURE_ID,freq,unit,age,sex,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V,EU27_2020,2014,21266,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V,EU27_2020,2015,21472,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V,EU27_2020,2016,20793,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V,EU27_2020,2017,20313,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V,EU27_2020,2018,20242,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V,EU27_2020,2019,20049,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V,EU27_2020,2020,17454,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V,EU28,2014,22546,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V,EU28,2015,22774,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V,EU28,2016,22023,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V,EU28,2017,21505,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V01-V09,EU27_2020,2014,3660,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V01-V09,EU27_2020,2015,3634,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V01-V09,EU27_2020,2016,3484,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V01-V09,EU27_2020,2017,3365,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V01-V09,EU27_2020,2018,3359,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V01-V09,EU27_2020,2019,3313,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V01-V09,EU27_2020,2020,2596,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V01-V09,EU28,2014,3890,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V01-V09,EU28,2015,3847,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V01-V09,EU28,2016,3681,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V01-V09,EU28,2017,3560,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V10-V19,EU27_2020,2014,1531,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V10-V19,EU27_2020,2015,1473,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V10-V19,EU27_2020,2016,1553,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V10-V19,EU27_2020,2017,1510,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V10-V19,EU27_2020,2018,1511,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V10-V19,EU27_2020,2019,1618,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V10-V19,EU27_2020,2020,1512,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V10-V19,EU28,2014,1593,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V10-V19,EU28,2015,1560,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V10-V19,EU28,2016,1616,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V10-V19,EU28,2017,1568,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V20-V29,EU27_2020,2014,2928,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V20-V29,EU27_2020,2015,3178,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V20-V29,EU27_2020,2016,2923,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V20-V29,EU27_2020,2017,2930,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V20-V29,EU27_2020,2018,3043,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V20-V29,EU27_2020,2019,3096,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V20-V29,EU27_2020,2020,2613,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V20-V29,EU28,2014,3188,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V20-V29,EU28,2015,3418,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V20-V29,EU28,2016,3118,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V20-V29,EU28,2017,3131,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V30-V39,EU27_2020,2014,59,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V30-V39,EU27_2020,2015,85,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V30-V39,EU27_2020,2016,88,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V30-V39,EU27_2020,2017,64,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V30-V39,EU27_2020,2018,105,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V30-V39,EU27_2020,2019,76,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V30-V39,EU27_2020,2020,85,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V30-V39,EU28,2014,66,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V30-V39,EU28,2015,89,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V30-V39,EU28,2016,94,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V30-V39,EU28,2017,72,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V40-V49,EU27_2020,2014,5864,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V40-V49,EU27_2020,2015,5789,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V40-V49,EU27_2020,2016,5667,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V40-V49,EU27_2020,2017,5610,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V40-V49,EU27_2020,2018,5509,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V40-V49,EU27_2020,2019,5442,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V40-V49,EU27_2020,2020,4720,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V40-V49,EU28,2014,6301,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V40-V49,EU28,2015,6204,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V40-V49,EU28,2016,6049,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V40-V49,EU28,2017,5935,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V50-V59,EU27_2020,2014,229,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V50-V59,EU27_2020,2015,224,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V50-V59,EU27_2020,2016,224,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V50-V59,EU27_2020,2017,191,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V50-V59,EU27_2020,2018,263,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V50-V59,EU27_2020,2019,209,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V50-V59,EU27_2020,2020,204,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V50-V59,EU28,2014,240,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V50-V59,EU28,2015,233,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V50-V59,EU28,2016,242,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V50-V59,EU28,2017,204,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V60-V69,EU27_2020,2014,257,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V60-V69,EU27_2020,2015,287,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V60-V69,EU27_2020,2016,252,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V60-V69,EU27_2020,2017,263,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V60-V69,EU27_2020,2018,267,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V60-V69,EU27_2020,2019,237,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V60-V69,EU27_2020,2020,208,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V60-V69,EU28,2014,268,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V60-V69,EU28,2015,306,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V60-V69,EU28,2016,259,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V60-V69,EU28,2017,275,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V70-V79,EU27_2020,2014,31,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V70-V79,EU27_2020,2015,42,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V70-V79,EU27_2020,2016,35,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V70-V79,EU27_2020,2017,61,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V70-V79,EU27_2020,2018,43,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V70-V79,EU27_2020,2019,48,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V70-V79,EU27_2020,2020,23,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V70-V79,EU28,2014,38,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V70-V79,EU28,2015,50,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V70-V79,EU28,2016,43,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,M,V70-V79,EU28,2017,68,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,T,ACC_TRA_OTH,EU27_2020,2014,8183,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,T,ACC_TRA_OTH,EU27_2020,2015,7934,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,T,ACC_TRA_OTH,EU27_2020,2016,8066,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,T,ACC_TRA_OTH,EU27_2020,2017,7754,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,T,ACC_TRA_OTH,EU27_2020,2018,7507,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,T,ACC_TRA_OTH,EU27_2020,2019,7304,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,T,ACC_TRA_OTH,EU27_2020,2020,6578,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,T,ACC_TRA_OTH,EU28,2014,8487,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,T,ACC_TRA_OTH,EU28,2015,8306,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,T,ACC_TRA_OTH,EU28,2016,8486,
dataflow,ESTAT:HLTH_CD_TROEU(1.0),A,NR,TOTAL,T,ACC_TRA_OTH,EU28,2017,8218,
