STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,reason,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM070(1.0),A,THS,PB1040,DISMIS,TOTAL,F,AT,2011,22.679,
dataflow,ESTAT:HLTH_DLM070(1.0),A,THS,PB1040,DISMIS,TOTAL,F,BE,2011,14.575,
dataflow,ESTAT:HLTH_DLM070(1.0),A,THS,PB1040,DISMIS,TOTAL,F,BG,2011,12.397,u
dataflow,ESTAT:HLTH_DLM070(1.0),A,THS,PB1040,DISMIS,TOTAL,F,CH,2011,12.36,
dataflow,ESTAT:HLTH_DLM070(1.0),A,THS,PB1040,DISMIS,TOTAL,F,CY,2011,0.837,u
dataflow,ESTAT:HLTH_DLM070(1.0),A,THS,PB1040,DISMIS,TOTAL,F,CZ,2011,14.967,
dataflow,ESTAT:HLTH_DLM070(1.0),A,THS,PB1040,DISMIS,TOTAL,F,DE,2011,180.523,
dataflow,ESTAT:HLTH_DLM070(1.0),A,THS,PB1040,DISMIS,TOTAL,F,DK,2011,11.394,
dataflow,ESTAT:HLTH_DLM070(1.0),A,THS,PB1040,DISMIS,TOTAL,F,EE,2011,9.876,
dataflow,ESTAT:HLTH_DLM070(1.0),A,THS,PB1040,DISMIS,TOTAL,F,EL,2011,6.758,u
dataflow,ESTAT:HLTH_DLM070(1.0),A,THS,PB1040,DISMIS,TOTAL,F,ES,2011,61.833,
dataflow,ESTAT:HLTH_DLM070(1.0),A,THS,PB1040,DISMIS,TOTAL,F,EU28,2011,958.577,
dataflow,ESTAT:HLTH_DLM070(1.0),A,THS,PB1040,DISMIS,TOTAL,F,FI,2011,10.129,
dataflow,ESTAT:HLTH_DLM070(1.0),A,THS,PB1040,DISMIS,TOTAL,F,FR,2011,223.38,
dataflow,ESTAT:HLTH_DLM070(1.0),A,THS,PB1040,DISMIS,TOTAL,F,HR,2011,6.396,u
dataflow,ESTAT:HLTH_DLM070(1.0),A,THS,PB1040,DISMIS,TOTAL,F,HU,2011,22.784,
dataflow,ESTAT:HLTH_DLM070(1.0),A,THS,PB1040,DISMIS,TOTAL,F,IE,2011,4.694,
dataflow,ESTAT:HLTH_DLM070(1.0),A,THS,PB1040,DISMIS,TOTAL,F,IS,2011,,u
dataflow,ESTAT:HLTH_DLM070(1.0),A,THS,PB1040,DISMIS,TOTAL,F,IT,2011,57.005,
dataflow,ESTAT:HLTH_DLM070(1.0),A,THS,PB1040,DISMIS,TOTAL,F,LT,2011,10.416,
dataflow,ESTAT:HLTH_DLM070(1.0),A,THS,PB1040,DISMIS,TOTAL,F,LU,2011,0.613,u
