STRUCTURE,STRUCTURE_ID,freq,unit,barrier,isced97,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DSI020(1.0),A,THS,PTP_LD1,ED0-2,F,AT,2012,99.7,
dataflow,ESTAT:HLTH_DSI020(1.0),A,THS,PTP_LD1,ED0-2,F,BE,2012,166.2,
dataflow,ESTAT:HLTH_DSI020(1.0),A,THS,PTP_LD1,ED0-2,F,BG,2012,118.2,
dataflow,ESTAT:HLTH_DSI020(1.0),A,THS,PTP_LD1,ED0-2,F,CY,2012,13.8,
dataflow,ESTAT:HLTH_DSI020(1.0),A,THS,PTP_LD1,ED0-2,F,CZ,2012,66.6,u
dataflow,ESTAT:HLTH_DSI020(1.0),A,THS,PTP_LD1,ED0-2,F,DE,2012,526.6,
dataflow,ESTAT:HLTH_DSI020(1.0),A,THS,PTP_LD1,ED0-2,F,DK,2012,83.8,
dataflow,ESTAT:HLTH_DSI020(1.0),A,THS,PTP_LD1,ED0-2,F,EE,2012,8.2,u
dataflow,ESTAT:HLTH_DSI020(1.0),A,THS,PTP_LD1,ED0-2,F,EEA,2012,5976.0,e
dataflow,ESTAT:HLTH_DSI020(1.0),A,THS,PTP_LD1,ED0-2,F,EL,2012,232.2,
dataflow,ESTAT:HLTH_DSI020(1.0),A,THS,PTP_LD1,ED0-2,F,ES,2012,828.5,
dataflow,ESTAT:HLTH_DSI020(1.0),A,THS,PTP_LD1,ED0-2,F,EU27_2007,2012,5937.0,e
dataflow,ESTAT:HLTH_DSI020(1.0),A,THS,PTP_LD1,ED0-2,F,FI,2012,60.5,
dataflow,ESTAT:HLTH_DSI020(1.0),A,THS,PTP_LD1,ED0-2,F,FR,2012,703.6,
dataflow,ESTAT:HLTH_DSI020(1.0),A,THS,PTP_LD1,ED0-2,F,HU,2012,129.0,
dataflow,ESTAT:HLTH_DSI020(1.0),A,THS,PTP_LD1,ED0-2,F,IS,2012,4.9,
dataflow,ESTAT:HLTH_DSI020(1.0),A,THS,PTP_LD1,ED0-2,F,IT,2012,990.5,
dataflow,ESTAT:HLTH_DSI020(1.0),A,THS,PTP_LD1,ED0-2,F,LT,2012,28.5,
dataflow,ESTAT:HLTH_DSI020(1.0),A,THS,PTP_LD1,ED0-2,F,LU,2012,5.4,
dataflow,ESTAT:HLTH_DSI020(1.0),A,THS,PTP_LD1,ED0-2,F,LV,2012,24.2,
dataflow,ESTAT:HLTH_DSI020(1.0),A,THS,PTP_LD1,ED0-2,F,MT,2012,9.5,
dataflow,ESTAT:HLTH_DSI020(1.0),A,THS,PTP_LD1,ED0-2,F,NL,2012,214.5,
dataflow,ESTAT:HLTH_DSI020(1.0),A,THS,PTP_LD1,ED0-2,F,NO,2012,34.2,
