STRUCTURE,STRUCTURE_ID,freq,unit,sex,nace_r2,severity,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,CZ,2019,13842,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,CZ,2020,10775,b
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,CZ,2021,11406,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,DE,2010,224357,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,DE,2011,206106,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,DE,2012,207003,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,DE,2013,241051,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,DE,2014,239493,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,DE,2015,243860,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,DE,2016,247547,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,DE,2017,227856,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,DE,2018,224062,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,DE,2019,227386,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,DE,2020,197103,b
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,DE,2021,207682,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,DK,2010,25787,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,DK,2011,23610,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,DK,2012,23309,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,DK,2013,22235,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,DK,2014,22041,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,DK,2015,19376,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,DK,2016,19039,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,DK,2017,19035,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,DK,2018,19643,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,DK,2019,19681,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,DK,2020,37626,b
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,DK,2021,42760,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EE,2010,2369,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EE,2011,2480,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EE,2012,2422,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EE,2013,2373,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EE,2014,2191,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EE,2015,1947,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EE,2016,1736,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EE,2017,1618,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EE,2018,1486,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EE,2019,1416,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EE,2020,1518,b
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EE,2021,1571,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EL,2010,2951,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EL,2011,2910,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EL,2012,2401,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EL,2013,2252,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EL,2014,859,b
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EL,2015,1015,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EL,2016,1092,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EL,2017,1190,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EL,2018,1356,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EL,2019,1459,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EL,2020,1058,b
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EL,2021,1229,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,ES,2010,138354,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,ES,2011,127690,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,ES,2012,106086,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,ES,2013,116692,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,ES,2014,123430,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,ES,2015,129516,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,ES,2016,134208,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,ES,2017,136833,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,ES,2018,137842,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,ES,2019,139378,b
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,ES,2020,110356,b
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,ES,2021,135056,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU15,2010,938565,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU15,2011,909242,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU15,2012,856660,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU15,2013,905266,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU15,2014,969661,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU15,2015,970407,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU15,2016,960167,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU15,2017,950330,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU15,2018,999272,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU27_2007,2010,1003236,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU27_2007,2011,972638,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU27_2007,2012,916617,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU27_2007,2013,962364,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU27_2007,2014,1026743,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU27_2007,2015,1032414,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU27_2007,2016,1028254,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU27_2007,2017,1018250,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU27_2007,2018,1063542,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU27_2020,2010,917748,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU27_2020,2011,884381,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU27_2020,2012,836387,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU27_2020,2013,877770,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU27_2020,2014,942660,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU27_2020,2015,951223,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU27_2020,2016,950225,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU27_2020,2017,940737,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU27_2020,2018,986107,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU27_2020,2019,996325,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU27_2020,2020,916474,b
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU27_2020,2021,915117,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU28,2010,1006755,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU28,2011,970982,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU28,2012,920026,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU28,2013,966218,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU28,2014,1030724,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU28,2015,1036923,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU28,2016,1032758,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU28,2017,1023118,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,EU28,2018,1067727,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,FI,2010,14639,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,FI,2011,15709,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,FI,2012,14591,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,FI,2013,14802,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,FI,2014,13913,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,FI,2015,13803,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,FI,2016,13454,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,FI,2017,13846,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,FI,2018,13402,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,FI,2019,13525,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,FI,2020,9807,b
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,FI,2021,12648,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,FR,2010,187796,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,FR,2011,196000,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,FR,2012,193431,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,F,TOTAL,D_GE4,FR,2013,192144,
