STRUCTURE,STRUCTURE_ID,freq,unit,wsta_acc,age,injury,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y25-34,INJ030,EU_V,1999,1.3,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y25-34,INJ040,EU_V,1999,0.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y25-34,INJ060,EU_V,1999,0.3,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y25-34,INJ072,EU_V,1999,0.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y25-34,OTH,EU_V,1999,0.5,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y25-34,POIS_ASP,EU_V,1999,0.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y25-34,TOTAL,EU_V,1999,0.8,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y25-34,UNK,EU_V,1999,0.4,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y35-44,CONT_BRU,EU_V,1999,0.2,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y35-44,CUT_LACE,EU_V,1999,0.2,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y35-44,INJ020,EU_V,1999,0.9,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y35-44,INJ030,EU_V,1999,0.9,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y35-44,INJ040,EU_V,1999,4.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y35-44,INJ060,EU_V,1999,0.2,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y35-44,INJ072,EU_V,1999,0.2,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y35-44,OTH,EU_V,1999,0.5,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y35-44,POIS_ASP,EU_V,1999,0.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y35-44,TOTAL,EU_V,1999,0.4,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y35-44,UNK,EU_V,1999,0.2,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y45-54,CONT_BRU,EU_V,1999,0.1,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y45-54,CUT_LACE,EU_V,1999,0.3,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y45-54,INJ020,EU_V,1999,0.7,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y45-54,INJ030,EU_V,1999,0.7,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y45-54,INJ040,EU_V,1999,0.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y45-54,INJ060,EU_V,1999,0.2,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y45-54,INJ072,EU_V,1999,0.2,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y45-54,OTH,EU_V,1999,0.7,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y45-54,POIS_ASP,EU_V,1999,7.2,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y45-54,TOTAL,EU_V,1999,0.4,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y45-54,UNK,EU_V,1999,0.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y55-64,CONT_BRU,EU_V,1999,0.2,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y55-64,CUT_LACE,EU_V,1999,0.1,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y55-64,INJ020,EU_V,1999,0.2,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y55-64,INJ030,EU_V,1999,0.3,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y55-64,INJ040,EU_V,1999,3.4,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y55-64,INJ060,EU_V,1999,0.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y55-64,INJ072,EU_V,1999,0.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y55-64,OTH,EU_V,1999,0.2,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y55-64,POIS_ASP,EU_V,1999,0.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y55-64,TOTAL,EU_V,1999,0.2,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y55-64,UNK,EU_V,1999,0.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y_GE65,CONT_BRU,EU_V,1999,0.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y_GE65,CUT_LACE,EU_V,1999,0.1,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y_GE65,INJ020,EU_V,1999,0.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y_GE65,INJ030,EU_V,1999,0.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y_GE65,INJ040,EU_V,1999,0.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y_GE65,INJ060,EU_V,1999,0.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y_GE65,INJ072,EU_V,1999,0.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y_GE65,OTH,EU_V,1999,0.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y_GE65,POIS_ASP,EU_V,1999,0.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y_GE65,TOTAL,EU_V,1999,0.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,CHANGE_W,Y_GE65,UNK,EU_V,1999,0.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,TOTAL,CONT_BRU,EU_V,1999,4.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,TOTAL,CUT_LACE,EU_V,1999,2.9,
