STRUCTURE,STRUCTURE_ID,freq,isced97,duration,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,NEV,AT,2008,17.6,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,NEV,BE,2008,9.7,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,NEV,BG,2008,77.6,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,NEV,CY,2008,20.1,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,NEV,CZ,2008,31.9,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,NEV,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,NEV,EE,2008,46.1,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,NEV,EL,2008,37.5,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,NEV,ES,2008,8.2,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,NEV,FR,2008,9.5,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,NEV,HU,2008,22.6,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,NEV,LV,2008,52.7,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,NEV,MT,2008,52.1,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,NEV,PL,2008,37.9,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,NEV,RO,2008,94.0,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,NEV,SI,2008,26.8,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,NEV,SK,2008,28.8,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,NEV,TR,2008,76.2,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y1-2,AT,2008,35.6,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y1-2,BE,2008,28.1,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y1-2,BG,2008,5.5,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y1-2,CY,2008,25.9,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y1-2,CZ,2008,20.4,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y1-2,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y1-2,EE,2008,10.3,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y1-2,EL,2008,16.8,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y1-2,ES,2008,30.2,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y1-2,FR,2008,30.8,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y1-2,HU,2008,25.1,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y1-2,LV,2008,11.2,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y1-2,MT,2008,9.6,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y1-2,PL,2008,23.6,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y1-2,RO,2008,1.4,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y1-2,SI,2008,17.6,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y1-2,SK,2008,21.8,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y1-2,TR,2008,5.4,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y2-3,BE,2008,9.6,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y2-3,BG,2008,3.9,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y2-3,CY,2008,12.1,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y2-3,CZ,2008,16.7,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y2-3,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y2-3,EE,2008,8.9,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y2-3,EL,2008,9.8,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y2-3,ES,2008,10.6,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y2-3,FR,2008,7.1,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y2-3,HU,2008,15.2,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y2-3,LV,2008,8.4,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y2-3,MT,2008,9.0,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y2-3,PL,2008,8.5,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y2-3,RO,2008,1.2,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y2-3,SI,2008,12.7,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y2-3,SK,2008,11.0,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y2-3,TR,2008,3.5,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y_GT3,AT,2008,10.4,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y_GT3,BE,2008,10.0,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y_GT3,BG,2008,6.3,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y_GT3,CY,2008,13.4,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y_GT3,CZ,2008,4.6,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y_GT3,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y_GT3,EE,2008,21.0,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y_GT3,EL,2008,14.0,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y_GT3,ES,2008,8.1,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y_GT3,FR,2008,5.8,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y_GT3,HU,2008,12.2,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y_GT3,LV,2008,13.8,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y_GT3,MT,2008,11.2,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y_GT3,PL,2008,10.5,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y_GT3,RO,2008,1.5,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y_GT3,SI,2008,15.6,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y_GT3,SK,2008,11.9,
dataflow,ESTAT:HLTH_EHIS_HC2(1.0),A,ED0-2,Y_GT3,TR,2008,4.0,
