STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,modinj,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_CO2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,CMI10,EU_V,2005,35.6,
dataflow,ESTAT:HSW_AW_CO2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,CMI20,EU_V,2005,0.8,
dataflow,ESTAT:HSW_AW_CO2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,CMI30,EU_V,2005,330.1,
dataflow,ESTAT:HSW_AW_CO2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,CMI40,EU_V,2005,136.2,
dataflow,ESTAT:HSW_AW_CO2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,CMI50,EU_V,2005,171.0,
dataflow,ESTAT:HSW_AW_CO2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,CMI60,EU_V,2005,56.3,
dataflow,ESTAT:HSW_AW_CO2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,CMI70,EU_V,2005,250.8,
dataflow,ESTAT:HSW_AW_CO2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,CMI80,EU_V,2005,43.2,
dataflow,ESTAT:HSW_AW_CO2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,CMI90,EU_V,2005,35.3,
dataflow,ESTAT:HSW_AW_CO2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,TOTAL,EU_V,2005,1059.3,
dataflow,ESTAT:HSW_AW_CO2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,CMI10,EU_V,2005,93.1,
dataflow,ESTAT:HSW_AW_CO2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,CMI20,EU_V,2005,3.5,
dataflow,ESTAT:HSW_AW_CO2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,CMI30,EU_V,2005,702.8,
dataflow,ESTAT:HSW_AW_CO2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,CMI40,EU_V,2005,553.3,
dataflow,ESTAT:HSW_AW_CO2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,CMI50,EU_V,2005,588.1,
dataflow,ESTAT:HSW_AW_CO2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,CMI60,EU_V,2005,201.8,
dataflow,ESTAT:HSW_AW_CO2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,CMI70,EU_V,2005,547.2,
dataflow,ESTAT:HSW_AW_CO2(1.0),A,RT,D_GE4,TOTAL,M,TOTAL,CMI80,EU_V,2005,55.3,
