STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,worktime,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,M,HU,2011,75.132,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,M,IE,2011,20.909,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,M,IS,2011,10.224,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,M,IT,2011,708.213,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,M,LT,2011,38.051,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,M,LU,2011,21.803,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,M,LV,2011,44.323,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,M,MT,2011,3.865,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,M,NL,2011,192.11,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,M,PL,2011,553.464,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,M,PT,2011,248.537,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,M,RO,2011,193.918,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,M,SE,2011,225.315,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,M,SI,2011,57.603,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,M,SK,2011,58.594,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,M,TR,2011,1956.786,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,M,UK,2011,1287.393,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,T,AT,2011,616.035,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,T,BE,2011,255.854,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,T,BG,2011,146.615,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,T,CH,2011,373.739,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,T,CY,2011,21.302,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,T,CZ,2011,201.347,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,T,DE,2011,2425.451,
