STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,matagent,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_MAA2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_0100,EU_V,2005,192.6,
dataflow,ESTAT:HSW_AW_MAA2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_0200,EU_V,2005,80.0,
dataflow,ESTAT:HSW_AW_MAA2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_0300,EU_V,2005,1.0,
dataflow,ESTAT:HSW_AW_MAA2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_0400,EU_V,2005,6.0,
dataflow,ESTAT:HSW_AW_MAA2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_0500,EU_V,2005,3.4,
dataflow,ESTAT:HSW_AW_MAA2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_0600,EU_V,2005,85.4,
dataflow,ESTAT:HSW_AW_MAA2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_0700,EU_V,2005,17.6,
dataflow,ESTAT:HSW_AW_MAA2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_0800,EU_V,2005,7.1,
dataflow,ESTAT:HSW_AW_MAA2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_0900,EU_V,2005,10.7,
dataflow,ESTAT:HSW_AW_MAA2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_1000,EU_V,2005,56.0,
dataflow,ESTAT:HSW_AW_MAA2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_1100,EU_V,2005,82.6,
dataflow,ESTAT:HSW_AW_MAA2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_1200,EU_V,2005,64.9,
dataflow,ESTAT:HSW_AW_MAA2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_1300,EU_V,2005,3.6,
dataflow,ESTAT:HSW_AW_MAA2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_1400,EU_V,2005,168.0,
dataflow,ESTAT:HSW_AW_MAA2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_1500,EU_V,2005,8.8,
dataflow,ESTAT:HSW_AW_MAA2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_1600,EU_V,2005,1.4,
dataflow,ESTAT:HSW_AW_MAA2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_1700,EU_V,2005,59.1,
dataflow,ESTAT:HSW_AW_MAA2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_1800,EU_V,2005,67.5,
dataflow,ESTAT:HSW_AW_MAA2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_1900,EU_V,2005,3.7,
dataflow,ESTAT:HSW_AW_MAA2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_2000,EU_V,2005,2.8,
dataflow,ESTAT:HSW_AW_MAA2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,MAT_9900,EU_V,2005,27.0,
dataflow,ESTAT:HSW_AW_MAA2(1.0),A,RT,D_GE4,TOTAL,F,TOTAL,TOTAL,EU_V,2005,949.3,
