STRUCTURE,STRUCTURE_ID,freq,unit,sex,isced97,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,ED5_6,DK,1999,46,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,ED5_6,ES,1999,63,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,ED5_6,EU_V,1999,53,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,ED5_6,FI,1999,53,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,ED5_6,HU,1999,23,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,ED5_6,LU,1999,43,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,ED5_6,SE,1999,71,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,TOTAL,DE,1999,122,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,TOTAL,DK,1999,113,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,TOTAL,EL,1999,141,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,TOTAL,ES,1999,127,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,TOTAL,EU_V,1999,115,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,TOTAL,FI,1999,114,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,TOTAL,HU,1999,132,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,TOTAL,LU,1999,128,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,M,TOTAL,SE,1999,99,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,T,ED0-2,DE,1999,120,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,T,ED0-2,DK,1999,149,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,T,ED0-2,EL,1999,144,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,T,ED0-2,ES,1999,123,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,T,ED0-2,EU_V,1999,144,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,T,ED0-2,FI,1999,112,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,T,ED0-2,HU,1999,126,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,T,ED0-2,LU,1999,180,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,T,ED0-2,SE,1999,89,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,T,ED3,DE,1999,123,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,T,ED3,DK,1999,102,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,T,ED3,EL,1999,81,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,T,ED3,ES,1999,88,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,T,ED3,EU_V,1999,96,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,T,ED3,FI,1999,124,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,T,ED3,HU,1999,109,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,T,ED3,LU,1999,71,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,T,ED3,SE,1999,111,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,T,ED5_6,DE,1999,52,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,T,ED5_6,DK,1999,60,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,T,ED5_6,EL,1999,19,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,T,ED5_6,ES,1999,54,
