STRUCTURE,STRUCTURE_ID,freq,sex,age,c_birth,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,FR,2013,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,FR,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,HR,2007,,du
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,HR,2013,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,HR,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,HU,2007,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,HU,2013,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,HU,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,IE,2007,,du
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,IE,2013,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,IE,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,IS,2007,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,IS,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,IT,2007,1.3,du
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,IT,2013,0.7,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,IT,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,LT,2007,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,LT,2013,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,LT,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,LU,2007,2.4,du
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,LU,2013,3.0,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,LU,2020,1.7,
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,LV,2007,,du
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,LV,2013,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,LV,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,MT,2007,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,MT,2013,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,MT,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,NL,2007,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,NL,2020,1.0,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,NO,2007,,du
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,NO,2013,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,NO,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,PL,2007,,du
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,PL,2013,,u
