STRUCTURE,STRUCTURE_ID,freq,unit,accident,isced11,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,AT,2014,5.1,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,AT,2019,9.2,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,BE,2014,4.0,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,BE,2019,5.6,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,BG,2014,2.6,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,BG,2019,1.7,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,CY,2014,2.6,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,CY,2019,5.0,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,CZ,2014,15.8,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,CZ,2019,8.6,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,DE,2014,8.3,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,DE,2019,7.6,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,DK,2014,2.0,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,DK,2019,4.3,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,EE,2014,4.0,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,EE,2019,8.3,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,EL,2014,4.5,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,EL,2019,3.4,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,ES,2014,5.8,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,ES,2019,4.0,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,EU27_2020,2014,5.5,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,EU27_2020,2019,4.9,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,EU28,2014,5.5,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,FI,2014,5.4,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,FI,2019,4.6,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,FR,2014,4.8,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,FR,2019,5.1,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,HR,2014,3.1,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,HR,2019,8.0,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,HU,2014,9.8,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,HU,2019,6.8,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,IE,2014,5.4,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,IE,2019,4.5,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,IS,2014,3.1,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,IS,2019,4.4,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,IT,2014,4.8,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,IT,2019,4.1,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,LT,2014,4.3,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,LT,2019,5.8,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,LU,2014,5.8,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,LU,2019,6.6,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,LV,2014,4.0,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,LV,2019,3.3,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,MT,2014,5.9,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,MT,2019,4.5,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,NL,2014,7.5,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,NL,2019,4.5,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,NO,2014,2.6,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,NO,2019,2.2,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,PL,2014,3.2,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,PL,2019,3.4,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,PT,2014,5.5,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,PT,2019,4.3,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,RO,2014,2.5,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,RO,2019,2.9,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,RS,2019,4.3,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,SE,2014,5.3,u
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,SE,2019,4.3,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,SI,2014,9.1,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,SI,2019,6.5,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,SK,2014,6.1,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,SK,2019,8.0,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,TR,2014,3.5,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,TR,2019,3.6,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,TOTAL,UK,2014,5.4,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,Y15-19,AT,2014,3.9,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,Y15-19,BE,2014,1.4,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,Y15-19,BG,2014,0.8,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,Y15-19,CY,2014,0,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,Y15-19,CZ,2014,7.2,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,Y15-19,DE,2014,9.7,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,Y15-19,DK,2014,2.5,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,Y15-19,EE,2014,1.0,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,Y15-19,EL,2014,0,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,Y15-19,ES,2014,2.4,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,Y15-19,EU28,2014,3.4,
dataflow,ESTAT:HLTH_EHIS_AC1E(1.0),A,PC,HOM,ED0-2,F,Y15-19,FI,2014,3.0,
