STRUCTURE,STRUCTURE_ID,freq,bmi,sex,age,quantile,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU3,MT,2008,42.5,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU3,PL,2008,48.8,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU3,RO,2008,59.3,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU3,SI,2008,46.8,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU3,SK,2008,55.7,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU3,TR,2008,46.6,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU4,AT,2008,55.7,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU4,BE,2008,47.1,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU4,BG,2008,54.6,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU4,CY,2008,56.1,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU4,CZ,2008,50.9,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU4,DE,2008,59.1,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU4,EE,2008,48.3,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU4,EL,2008,53.3,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU4,ES,2008,60.8,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU4,HU,2008,48.7,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU4,LV,2008,59.6,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU4,MT,2008,50.4,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU4,PL,2008,52.8,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU4,RO,2008,65.6,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU4,SI,2008,51.0,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU4,SK,2008,56.6,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU4,TR,2008,46.8,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU5,AT,2008,64.4,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU5,BE,2008,65.1,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU5,BG,2008,58.7,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU5,CY,2008,64.6,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU5,CZ,2008,55.7,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU5,DE,2008,61.7,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU5,EE,2008,56.9,
