STRUCTURE,STRUCTURE_ID,freq,unit,assist,wstatus,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,M,SK,2012,19.1,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,M,UK,2012,483.1,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,AT,2012,56.2,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,BE,2012,89.9,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,BG,2012,15.3,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,CY,2012,3.4,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,CZ,2012,19.5,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,DE,2012,686.6,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,DK,2012,43.7,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,EE,2012,9.1,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,EEA,2012,3412.0,e
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,EL,2012,29.4,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,ES,2012,298.5,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,EU27_2007,2012,3334.2,e
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,FI,2012,20.5,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,FR,2012,500.3,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,HU,2012,26.4,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,IS,2012,1.9,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,IT,2012,139.7,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,LT,2012,13.9,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,LU,2012,7.1,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,LV,2012,5.6,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,MT,2012,1.6,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,NL,2012,162.9,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,NO,2012,75.9,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,PL,2012,103.9,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,PT,2012,21.1,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,RO,2012,68.1,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,SE,2012,70.9,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,SI,2012,8.4,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,SK,2012,28.9,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,UK,2012,903.2,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,F,AT,2012,9.8,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,F,BE,2012,148.0,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,F,BG,2012,27.7,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,F,CY,2012,8.0,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,F,CZ,2012,7.1,u
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,F,DE,2012,387.9,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,F,DK,2012,36.3,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,F,EE,2012,13.3,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,F,EEA,2012,4288.3,e
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,F,EL,2012,119.9,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,F,ES,2012,723.8,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,F,EU27_2007,2012,4228.8,e
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,F,FI,2012,3.9,u
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,F,FR,2012,627.6,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,F,HU,2012,56.1,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,F,IS,2012,2.8,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,F,IT,2012,608.9,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,F,LT,2012,39.9,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,F,LU,2012,4.4,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,F,LV,2012,9.8,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,F,MT,2012,5.9,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,F,NL,2012,152.2,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,F,NO,2012,56.7,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,F,PL,2012,274.2,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,F,PT,2012,69.2,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,F,RO,2012,109.6,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,F,SE,2012,28.3,u
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,F,SI,2012,7.6,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,F,SK,2012,26.1,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,F,UK,2012,723.4,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,M,AT,2012,18.4,u
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,M,BE,2012,85.8,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,M,BG,2012,42.8,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,M,CY,2012,2.8,u
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,M,CZ,2012,10.8,u
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,M,DE,2012,221.9,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,M,DK,2012,31.5,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,M,EE,2012,10.9,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,M,EEA,2012,2341.2,e
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,M,EL,2012,18.8,u
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,M,ES,2012,326.9,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,M,EU27_2007,2012,2306.6,e
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,M,FI,2012,10.0,u
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,M,FR,2012,364.3,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,M,HU,2012,32.8,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,M,IS,2012,1.0,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,M,IT,2012,216.2,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,M,LT,2012,20.9,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,M,LU,2012,1.0,u
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,M,LV,2012,7.8,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,M,MT,2012,1.9,u
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,M,NL,2012,66.3,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,M,NO,2012,33.6,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,M,PL,2012,223.8,
