STRUCTURE,STRUCTURE_ID,freq,unit,assist,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,F,AT,2011,76.041,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,F,BE,2011,50.722,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,F,BG,2011,6.63,u
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,F,CH,2011,86.208,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,F,CY,2011,2.616,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,F,CZ,2011,42.812,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,F,DE,2011,240.239,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,F,DK,2011,80.12,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,F,EE,2011,6.32,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,F,EL,2011,23.161,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,F,ES,2011,149.499,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,F,EU28,2011,2285.606,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,F,FI,2011,96.009,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,F,FR,2011,284.826,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,F,HR,2011,4.656,u
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,F,HU,2011,33.625,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,F,IE,2011,4.977,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,F,IS,2011,10.344,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,F,IT,2011,146.625,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,F,LT,2011,11.42,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,F,LV,2011,22.482,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,F,MT,2011,,u
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,F,NL,2011,162.938,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,F,PL,2011,145.924,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,F,PT,2011,100.878,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,F,RO,2011,87.539,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,F,SE,2011,119.015,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,F,SI,2011,16.078,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,F,SK,2011,13.485,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,F,TR,2011,341.281,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,F,UK,2011,355.994,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,M,AT,2011,81.196,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,M,BE,2011,54.898,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,M,BG,2011,,u
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,M,CH,2011,86.561,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,M,CY,2011,3.747,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,M,CZ,2011,35.629,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,M,DE,2011,251.167,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,M,DK,2011,58.805,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,M,EE,2011,,u
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,M,EL,2011,32.959,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,M,ES,2011,142.111,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,M,EU28,2011,2025.878,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,M,FI,2011,59.614,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,M,FR,2011,236.291,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,M,HR,2011,7.868,u
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,M,HU,2011,28.247,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,M,IE,2011,4.964,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,M,IS,2011,7.063,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,M,IT,2011,171.152,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,M,LT,2011,8.061,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,M,LV,2011,10.719,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,M,MT,2011,,u
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,M,NL,2011,150.908,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,M,PL,2011,172.634,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,M,PT,2011,80.384,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,M,RO,2011,74.77,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,M,SE,2011,72.424,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,M,SI,2011,16.938,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,M,SK,2011,12.644,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,M,TR,2011,514.179,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,M,UK,2011,248.148,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,T,AT,2011,157.236,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,T,BE,2011,105.621,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,T,BG,2011,12.764,u
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,T,CH,2011,172.769,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,T,CY,2011,6.364,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,T,CZ,2011,78.441,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,T,DE,2011,491.406,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,T,DK,2011,138.925,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,T,EE,2011,8.712,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,T,EL,2011,56.12,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,T,ES,2011,291.61,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,T,EU28,2011,4311.483,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,T,FI,2011,155.622,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,T,FR,2011,521.117,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,T,HR,2011,12.525,u
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,T,HU,2011,61.873,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,T,IE,2011,9.941,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,T,IS,2011,17.407,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,T,IT,2011,317.776,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,T,LT,2011,19.48,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,T,LV,2011,33.2,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,T,MT,2011,2.05,u
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,T,NL,2011,313.846,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,T,PL,2011,318.558,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,T,PT,2011,181.262,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,T,RO,2011,162.309,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,T,SE,2011,191.44,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,T,SI,2011,33.016,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,T,SK,2011,26.129,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,T,TR,2011,855.459,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,TOTAL,T,UK,2011,604.141,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,Y15-24,F,AT,2011,,u
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,Y15-24,F,BE,2011,,u
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,Y15-24,F,BG,2011,,u
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,Y15-24,F,CH,2011,9.582,
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,Y15-24,F,CY,2011,,u
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,Y15-24,F,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,Y15-24,F,DE,2011,,u
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,Y15-24,F,DK,2011,4.804,u
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,Y15-24,F,EE,2011,,u
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,Y15-24,F,EL,2011,,u
dataflow,ESTAT:HLTH_DLM180(1.0),A,THS,AS1010,Y15-24,F,ES,2011,3.76,u
