STRUCTURE,STRUCTURE_ID,freq,unit,age,severity,frequenc,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,TOTAL,D_GE14,NVR,EU_V,1999,96,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,TOTAL,D_GE14,SMT,EU_V,1999,144,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,TOTAL,D_GE14,TOTAL,EU_V,1999,100,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,TOTAL,D_GE14,USU,EU_V,1999,109,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,TOTAL,D_GE4,NVR,EU_V,1999,95,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,TOTAL,D_GE4,SMT,EU_V,1999,151,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,TOTAL,D_GE4,TOTAL,EU_V,1999,100,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,TOTAL,D_GE4,USU,EU_V,1999,116,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,TOTAL,TOTAL,NVR,EU_V,1999,93,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,TOTAL,TOTAL,SMT,EU_V,1999,149,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,TOTAL,TOTAL,TOTAL,EU_V,1999,100,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,TOTAL,TOTAL,USU,EU_V,1999,143,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,Y15-24,D_GE14,NVR,EU_V,1999,119,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,Y15-24,D_GE14,TOTAL,EU_V,1999,119,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,Y15-24,D_GE14,USU,EU_V,1999,220,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,Y15-24,D_GE4,NVR,EU_V,1999,128,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,Y15-24,D_GE4,SMT,EU_V,1999,58,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,Y15-24,D_GE4,TOTAL,EU_V,1999,124,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,Y15-24,D_GE4,USU,EU_V,1999,155,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,Y15-24,TOTAL,NVR,EU_V,1999,130,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,Y15-24,TOTAL,SMT,EU_V,1999,135,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,Y15-24,TOTAL,TOTAL,EU_V,1999,132,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,Y15-24,TOTAL,USU,EU_V,1999,169,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,Y25-34,D_GE14,NVR,EU_V,1999,106,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,Y25-34,D_GE14,SMT,EU_V,1999,158,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,Y25-34,D_GE14,TOTAL,EU_V,1999,106,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,Y25-34,D_GE14,USU,EU_V,1999,67,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,Y25-34,D_GE4,NVR,EU_V,1999,115,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,Y25-34,D_GE4,SMT,EU_V,1999,169,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,Y25-34,D_GE4,TOTAL,EU_V,1999,117,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,Y25-34,D_GE4,USU,EU_V,1999,103,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,Y25-34,TOTAL,NVR,EU_V,1999,110,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,Y25-34,TOTAL,SMT,EU_V,1999,156,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,Y25-34,TOTAL,TOTAL,EU_V,1999,118,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,Y25-34,TOTAL,USU,EU_V,1999,175,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,Y35-44,D_GE14,NVR,EU_V,1999,102,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,Y35-44,D_GE14,SMT,EU_V,1999,154,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,Y35-44,D_GE14,TOTAL,EU_V,1999,110,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,Y35-44,D_GE14,USU,EU_V,1999,160,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,Y35-44,D_GE4,NVR,EU_V,1999,92,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,Y35-44,D_GE4,SMT,EU_V,1999,169,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,Y35-44,D_GE4,TOTAL,EU_V,1999,100,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,Y35-44,D_GE4,USU,EU_V,1999,128,
dataflow,ESTAT:HSW_IJ_SVNIA(1.0),A,RT,Y35-44,TOTAL,NVR,EU_V,1999,85,
