STRUCTURE,STRUCTURE_ID,freq,unit,barrier,isced97,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,LT,2012,26.8,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,LU,2012,3.0,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,LV,2012,10.9,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,MT,2012,5.0,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,NL,2012,124.2,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,NO,2012,16.8,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,PL,2012,438.3,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,PT,2012,171.4,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,RO,2012,375.0,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,SE,2012,32.3,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,SI,2012,20.3,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,SK,2012,21.6,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,UK,2012,642.6,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,T,AT,2012,156.1,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,T,BE,2012,223.4,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,T,BG,2012,240.4,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,T,CY,2012,26.3,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,T,CZ,2012,158.3,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,T,DE,2012,1155.3,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,T,DK,2012,173.6,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,T,EE,2012,19.5,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,T,EEA,2012,14513.3,e
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,T,EL,2012,563.7,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,T,ES,2012,1877.7,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,T,EU27_2007,2012,14455.3,e
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,T,FI,2012,112.8,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,T,FR,2012,1390.6,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,T,HU,2012,501.6,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,T,IS,2012,3.3,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,T,IT,2012,2894.9,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,T,LT,2012,96.5,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,T,LU,2012,8.2,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,T,LV,2012,44.9,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,T,MT,2012,12.0,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,T,NL,2012,316.0,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,T,NO,2012,54.7,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,T,PL,2012,1572.4,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,T,PT,2012,416.1,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,T,RO,2012,1028.6,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,T,SE,2012,71.9,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,T,SI,2012,82.2,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,T,SK,2012,71.6,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,T,UK,2012,1240.7,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,F,AT,2012,75.8,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,F,BE,2012,112.7,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,F,BG,2012,104.2,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,F,CY,2012,2.7,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,F,CZ,2012,196.3,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,F,DE,2012,1748.1,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,F,DK,2012,58.1,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,F,EE,2012,21.9,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,F,EEA,2012,5239.6,e
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,F,EL,2012,51.2,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,F,ES,2012,115.2,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,F,EU27_2007,2012,5170.0,e
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,F,FI,2012,37.4,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,F,FR,2012,325.7,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,F,HU,2012,188.6,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,F,IS,2012,1.2,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,F,IT,2012,131.8,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,F,LT,2012,55.8,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,F,LU,2012,4.2,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,F,LV,2012,28.1,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,F,MT,2012,0.9,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,F,NL,2012,133.0,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,F,NO,2012,68.4,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,F,PL,2012,344.6,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,F,PT,2012,,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,F,RO,2012,259.2,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,F,SE,2012,72.7,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,F,SI,2012,18.1,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,F,SK,2012,76.9,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,F,UK,2012,999.4,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,M,AT,2012,65.7,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,M,BE,2012,53.9,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,M,BG,2012,74.5,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,M,CY,2012,2.7,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,M,CZ,2012,131.9,
