STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,wstatus,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,F,AT,2011,6.823,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,F,BE,2011,4.805,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,F,BG,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,F,CH,2011,5.174,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,F,CY,2011,0.602,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,F,CZ,2011,1.537,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,F,DE,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,F,DK,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,F,EE,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,F,EL,2011,8.287,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,F,ES,2011,6.56,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,F,EU28,2011,246.09,
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,F,FI,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,F,FR,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,F,HR,2011,6.653,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,F,HU,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,F,IE,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,F,IS,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,F,IT,2011,12.548,
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,F,LT,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,F,LU,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,F,LV,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,F,NL,2011,4.856,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,F,PL,2011,54.921,
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,F,PT,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,F,RO,2011,69.779,
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,F,SE,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,F,SI,2011,4.032,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,F,SK,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,F,TR,2011,666.454,
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,F,UK,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,M,AT,2011,6.809,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,M,BE,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,M,BG,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,M,CH,2011,2.172,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,M,CY,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,M,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,M,DE,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,M,DK,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,M,EE,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,M,EL,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,M,ES,2011,3.417,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,M,EU28,2011,88.073,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,M,FI,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,M,FR,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,M,HR,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,M,HU,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,M,IE,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,M,IS,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,M,IT,2011,8.97,
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,M,LT,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,M,LU,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,M,LV,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,M,NL,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,M,PL,2011,25.693,
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,M,PT,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,M,RO,2011,17.242,
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,M,SE,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,M,SI,2011,1.394,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,M,SK,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,M,TR,2011,65.924,
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,M,UK,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,T,AT,2011,13.633,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,T,BE,2011,5.933,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,T,BG,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,T,CH,2011,7.345,
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,T,CY,2011,0.825,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,T,CZ,2011,1.537,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,T,DE,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,T,DK,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,T,EE,2011,,u
dataflow,ESTAT:HLTH_DLM050(1.0),A,THS,PB1040,CFAM,TOTAL,T,EL,2011,9.94,u
