STRUCTURE,STRUCTURE_ID,freq,unit,age,severity,frequenc,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,TOTAL,D_GE14,NVR,EU_V,1999,92,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,TOTAL,D_GE14,SMT,EU_V,1999,129,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,TOTAL,D_GE14,TOTAL,EU_V,1999,100,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,TOTAL,D_GE14,USU,EU_V,1999,135,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,TOTAL,D_GE4,NVR,EU_V,1999,92,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,TOTAL,D_GE4,SMT,EU_V,1999,130,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,TOTAL,D_GE4,TOTAL,EU_V,1999,100,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,TOTAL,D_GE4,USU,EU_V,1999,138,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,TOTAL,TOTAL,NVR,EU_V,1999,89,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,TOTAL,TOTAL,SMT,EU_V,1999,136,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,TOTAL,TOTAL,TOTAL,EU_V,1999,100,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,TOTAL,TOTAL,USU,EU_V,1999,148,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y15-24,D_GE14,NVR,EU_V,1999,138,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y15-24,D_GE14,TOTAL,EU_V,1999,123,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y15-24,D_GE14,USU,EU_V,1999,83,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y15-24,D_GE4,NVR,EU_V,1999,135,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y15-24,D_GE4,SMT,EU_V,1999,77,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y15-24,D_GE4,TOTAL,EU_V,1999,130,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y15-24,D_GE4,USU,EU_V,1999,122,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y15-24,TOTAL,NVR,EU_V,1999,131,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y15-24,TOTAL,SMT,EU_V,1999,124,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y15-24,TOTAL,TOTAL,EU_V,1999,137,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y15-24,TOTAL,USU,EU_V,1999,172,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y25-34,D_GE14,NVR,EU_V,1999,105,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y25-34,D_GE14,SMT,EU_V,1999,96,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y25-34,D_GE14,TOTAL,EU_V,1999,105,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y25-34,D_GE14,USU,EU_V,1999,114,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y25-34,D_GE4,NVR,EU_V,1999,115,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y25-34,D_GE4,SMT,EU_V,1999,105,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y25-34,D_GE4,TOTAL,EU_V,1999,118,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y25-34,D_GE4,USU,EU_V,1999,138,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y25-34,TOTAL,NVR,EU_V,1999,104,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y25-34,TOTAL,SMT,EU_V,1999,151,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y25-34,TOTAL,TOTAL,EU_V,1999,117,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y25-34,TOTAL,USU,EU_V,1999,172,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y35-44,D_GE14,NVR,EU_V,1999,92,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y35-44,D_GE14,SMT,EU_V,1999,169,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y35-44,D_GE14,TOTAL,EU_V,1999,110,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y35-44,D_GE14,USU,EU_V,1999,182,
