STRUCTURE,STRUCTURE_ID,freq,unit,hhcomp,assist,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,M,IT,2012,598.1,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,M,LT,2012,17.5,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,M,LU,2012,1.0,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,M,LV,2012,10.7,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,M,MT,2012,1.3,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,M,NL,2012,82.2,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,M,NO,2012,18.2,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,M,PL,2012,203.3,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,M,PT,2012,87.3,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,M,RO,2012,44.3,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,M,SE,2012,39.8,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,M,SI,2012,7.5,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,M,SK,2012,9.8,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,M,UK,2012,431.7,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,T,AT,2012,46.0,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,T,BE,2012,169.3,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,T,BG,2012,112.2,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,T,CY,2012,14.9,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,T,CZ,2012,180.2,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,T,DE,2012,1116.0,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,T,DK,2012,60.5,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,T,EE,2012,21.6,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,T,EEA,2012,7639.0,e
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,T,EL,2012,200.0,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,T,ES,2012,810.6,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,T,EU27_2007,2012,7583.9,e
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,T,FI,2012,21.2,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,T,FR,2012,1212.1,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,T,HU,2012,98.4,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,T,IS,2012,2.7,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,T,IT,2012,1508.9,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,T,LT,2012,42.4,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,T,LU,2012,2.4,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,T,LV,2012,18.3,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,T,MT,2012,3.3,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,T,NL,2012,170.4,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,T,NO,2012,52.5,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,T,PL,2012,421.1,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,T,PT,2012,184.9,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,T,RO,2012,86.7,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,T,SE,2012,86.4,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,T,SI,2012,17.9,
