STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,reason,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,M,LU,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,M,LV,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,M,MT,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,M,NL,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,M,PL,2011,6.117,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,M,PT,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,M,RO,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,M,SE,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,M,SI,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,M,SK,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,M,TR,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,M,UK,2011,56.056,
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,T,AT,2011,19.19,
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,T,BE,2011,9.427,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,T,BG,2011,6.549,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,T,CH,2011,21.068,
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,T,CY,2011,1.348,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,T,CZ,2011,5.188,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,T,DE,2011,94.724,
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,T,DK,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,T,EE,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,T,EL,2011,2.954,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,T,ES,2011,49.531,
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,T,EU28,2011,788.302,
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,T,FI,2011,8.802,
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,T,FR,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,T,HR,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,T,HU,2011,12.589,
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,T,IE,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,T,IS,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,T,IT,2011,107.417,
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,T,LT,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,T,LU,2011,1.519,
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,T,LV,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,T,MT,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,T,NL,2011,15.627,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,T,PL,2011,51.356,
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,T,PT,2011,23.197,
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,T,RO,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,T,SE,2011,7.512,
