STRUCTURE,STRUCTURE_ID,freq,unit,severity,sizeclas,nace_r1,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,F,EU15_NO,2007,1729,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,G,EU15_NO,1996,1487,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,G,EU15_NO,1997,1155,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,G,EU15_NO,1998,1085,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,G,EU15_NO,1999,937,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,G,EU15_NO,2000,537,b
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,G,EU15_NO,2001,1263,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,G,EU15_NO,2002,1047,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,G,EU15_NO,2003,576,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,G,EU15_NO,2004,272,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,G,EU15_NO,2005,242,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,G,EU15_NO,2006,230,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,G,EU15_NO,2007,190,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,H,EU15_NO,1996,1312,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,H,EU15_NO,1997,783,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,H,EU15_NO,1998,827,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,H,EU15_NO,1999,768,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,H,EU15_NO,2002,4083,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,H,EU15_NO,2003,2078,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,H,EU15_NO,2004,441,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,H,EU15_NO,2005,970,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,H,EU15_NO,2006,737,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,H,EU15_NO,2007,673,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,I,EU15_NO,1996,6760,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,I,EU15_NO,1997,5680,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,I,EU15_NO,1998,5160,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,I,EU15_NO,1999,4514,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,I,EU15_NO,2000,5167,b
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,I,EU15_NO,2001,9251,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,I,EU15_NO,2002,5345,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,I,EU15_NO,2003,3583,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,I,EU15_NO,2004,1800,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,I,EU15_NO,2005,1940,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,I,EU15_NO,2006,1456,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,I,EU15_NO,2007,1277,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,J_K,EU15_NO,1996,647,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,J_K,EU15_NO,1997,447,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,J_K,EU15_NO,1998,426,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,J_K,EU15_NO,1999,469,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,J_K,EU15_NO,2000,446,b
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,J_K,EU15_NO,2001,1585,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,J_K,EU15_NO,2002,1342,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,J_K,EU15_NO,2003,747,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,J_K,EU15_NO,2004,167,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,J_K,EU15_NO,2005,151,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,J_K,EU15_NO,2006,153,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,0,J_K,EU15_NO,2007,122,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,A,EU15_NO,2002,5968,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,A,EU15_NO,2003,,p
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,A,EU15_NO,2004,,p
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,A_D-K,EU15_NO,1996,4241,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,A_D-K,EU15_NO,1997,4094,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,A_D-K,EU15_NO,1998,4079,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,A_D-K,EU15_NO,1999,3886,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,A_D-K,EU15_NO,2000,3615,b
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,A_D-K,EU15_NO,2001,3203,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,A_D-K,EU15_NO,2002,2875,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,A_D-K,EU15_NO,2003,2830,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,A_D-K,EU15_NO,2004,2756,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,A_D-K,EU15_NO,2005,2709,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,A_D-K,EU15_NO,2006,2483,
