STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,modinj,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,C,CMI20,EU_V,2005,45,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,C,CMI30,EU_V,2005,5087,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,C,CMI40,EU_V,2005,6577,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,C,CMI50,EU_V,2005,3213,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,C,CMI60,EU_V,2005,1628,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,C,CMI70,EU_V,2005,4123,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,C,CMI80,EU_V,2005,84,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,C,CMI90,EU_V,2005,719,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,C,TOTAL,EU_V,2005,21942,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,D,CMI10,EU_V,2005,35519,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,D,CMI20,EU_V,2005,824,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,D,CMI30,EU_V,2005,175168,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,D,CMI40,EU_V,2005,163599,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,D,CMI50,EU_V,2005,219974,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,D,CMI60,EU_V,2005,87848,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,D,CMI70,EU_V,2005,144897,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,D,CMI80,EU_V,2005,3485,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,D,CMI90,EU_V,2005,14831,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,D,TOTAL,EU_V,2005,846147,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,E,CMI10,EU_V,2005,918,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,E,CMI20,EU_V,2005,52,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,E,CMI30,EU_V,2005,5553,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,E,CMI40,EU_V,2005,3448,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,E,CMI50,EU_V,2005,2724,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,E,CMI60,EU_V,2005,1378,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,E,CMI70,EU_V,2005,4773,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,E,CMI80,EU_V,2005,339,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,E,CMI90,EU_V,2005,506,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,E,TOTAL,EU_V,2005,19688,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,F,CMI10,EU_V,2005,14834,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,F,CMI20,EU_V,2005,1094,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,F,CMI30,EU_V,2005,157969,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,F,CMI40,EU_V,2005,112740,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,F,CMI50,EU_V,2005,111091,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,F,CMI60,EU_V,2005,28253,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,F,CMI70,EU_V,2005,113198,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,F,CMI80,EU_V,2005,2763,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,F,CMI90,EU_V,2005,12696,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,F,TOTAL,EU_V,2005,554640,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,G,CMI10,EU_V,2005,7930,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,G,CMI20,EU_V,2005,254,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,G,CMI30,EU_V,2005,88041,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,G,CMI40,EU_V,2005,71401,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,G,CMI50,EU_V,2005,73201,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,G,CMI60,EU_V,2005,22694,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,G,CMI70,EU_V,2005,83881,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,G,CMI80,EU_V,2005,3611,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,G,CMI90,EU_V,2005,7189,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,G,TOTAL,EU_V,2005,358199,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,H,CMI10,EU_V,2005,13384,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,H,CMI20,EU_V,2005,180,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,H,CMI30,EU_V,2005,41471,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,H,CMI40,EU_V,2005,18778,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,H,CMI50,EU_V,2005,41276,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,H,CMI60,EU_V,2005,4139,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,H,CMI70,EU_V,2005,23177,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,H,CMI80,EU_V,2005,2420,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,H,CMI90,EU_V,2005,2790,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,H,TOTAL,EU_V,2005,147615,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,I,CMI10,EU_V,2005,4239,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,I,CMI20,EU_V,2005,289,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,I,CMI30,EU_V,2005,78057,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,I,CMI40,EU_V,2005,54580,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,I,CMI50,EU_V,2005,25411,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,I,CMI60,EU_V,2005,15048,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,I,CMI70,EU_V,2005,56314,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,I,CMI80,EU_V,2005,6053,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,I,CMI90,EU_V,2005,5277,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,I,TOTAL,EU_V,2005,245272,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,J,CMI10,EU_V,2005,255,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,J,CMI20,EU_V,2005,32,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,J,CMI30,EU_V,2005,5924,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,J,CMI40,EU_V,2005,2488,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,J,CMI50,EU_V,2005,1402,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,J,CMI60,EU_V,2005,567,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,J,CMI70,EU_V,2005,3724,
