STRUCTURE,STRUCTURE_ID,freq,isced97,bmi,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y25-34,HU,2008,49,u
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y25-34,LV,2008,52.6,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y25-34,PL,2008,61.2,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y25-34,RO,2008,63.9,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y25-34,TR,2008,55.5,u
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y35-44,AT,2008,44.1,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y35-44,BE,2008,51.2,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y35-44,BG,2008,50.3,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y35-44,CY,2008,55.8,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y35-44,DE,2008,44.3,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y35-44,EE,2008,42.3,u
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y35-44,EL,2008,56.4,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y35-44,ES,2008,50.8,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y35-44,FR,2008,50.5,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y35-44,HU,2008,50.6,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y35-44,LV,2008,49.1,u
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y35-44,PL,2008,50.3,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y35-44,RO,2008,53.6,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y35-44,SI,2008,36.8,u
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y35-44,TR,2008,33.5,u
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y45-54,AT,2008,36.9,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y45-54,BE,2008,39.6,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y45-54,BG,2008,34.9,
