STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,physact,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_PA2(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,PHA_1,EU_V,2005,54.6,
dataflow,ESTAT:HSW_AW_PA2(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,PHA_2,EU_V,2005,108.7,
dataflow,ESTAT:HSW_AW_PA2(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,PHA_3,EU_V,2005,67.8,
dataflow,ESTAT:HSW_AW_PA2(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,PHA_4,EU_V,2005,282.3,
dataflow,ESTAT:HSW_AW_PA2(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,PHA_5,EU_V,2005,140.8,
dataflow,ESTAT:HSW_AW_PA2(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,PHA_6,EU_V,2005,390.7,
dataflow,ESTAT:HSW_AW_PA2(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,PHA_7,EU_V,2005,22.6,
dataflow,ESTAT:HSW_AW_PA2(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,PHA_9,EU_V,2005,22.7,
dataflow,ESTAT:HSW_AW_PA2(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,TOTAL,EU_V,2005,1090.3,
dataflow,ESTAT:HSW_AW_PA2(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,PHA_1,EU_V,2005,222.6,
dataflow,ESTAT:HSW_AW_PA2(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,PHA_2,EU_V,2005,507.9,
dataflow,ESTAT:HSW_AW_PA2(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,PHA_3,EU_V,2005,225.8,
dataflow,ESTAT:HSW_AW_PA2(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,PHA_4,EU_V,2005,777.6,
dataflow,ESTAT:HSW_AW_PA2(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,PHA_5,EU_V,2005,402.9,
dataflow,ESTAT:HSW_AW_PA2(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,PHA_6,EU_V,2005,729.5,
dataflow,ESTAT:HSW_AW_PA2(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,PHA_7,EU_V,2005,41.1,
dataflow,ESTAT:HSW_AW_PA2(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,PHA_9,EU_V,2005,40.3,
dataflow,ESTAT:HSW_AW_PA2(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,TOTAL,EU_V,2005,2947.7,
dataflow,ESTAT:HSW_AW_PA2(1.0),A,NR,D_GE4,TOTAL,T,A,PHA_1,EU_V,2005,98.8,
